pair_id,condition,vision_gap,projector_gap,hidden_gap,action_gap,chunk_max_l2,first_action_l2,translation_gap,rotation_gap,gripper_gap
episode_000005_000028,C4_sim_shift_down_24px,104.12601743291326,11.764947040504355,275.7630052784292,0.0009224793915838761,0.001493209897940921,0.0006419380316981968,0.00060283485874638,0.00022062313935937702,0.0
episode_000005_000029,C4_sim_shift_down_24px,103.81333535980778,11.91674612850983,271.9315407316971,0.0021554623574273307,0.0041274668017045124,0.003927444194789199,0.00031197203057525987,0.00026211122223615573,0.00390625
episode_000005_000030,C4_sim_shift_down_24px,103.36852308981688,11.861113245538514,271.5634974987123,0.0009438179415838454,0.0015273454515515258,0.0005045933927436876,0.00045380604048403595,0.00022062313935937658,0.0
episode_000005_000031,C4_sim_shift_down_24px,103.24276265775441,11.840603643022021,274.62899316565097,0.0014761154917562005,0.004138216110069108,0.0004389345563729396,0.0003520813144092965,0.00026211122223615573,0.0
episode_000005_000032,C4_sim_shift_down_24px,102.85088546412908,11.724537348096758,270.62153851198434,0.002144813929723418,0.004140550507104139,0.003918782673448226,0.0001713659429288476,0.00026211122223615573,0.00390625
episode_000005_000033,C4_sim_shift_down_24px,103.48329076022453,11.928317581297739,273.4404386246828,0.0014684279677449666,0.004114747945455759,0.0003903295100473213,0.0003219977589875352,0.00022062313935937702,0.0
episode_000005_000034,C4_sim_shift_down_24px,103.45848379099458,11.789533864856853,271.70947177686674,0.0014281837864635267,0.004167751183859776,0.0005161164719058414,0.00048382637581539966,0.00017968931698314405,0.0
episode_000005_000035,C4_sim_shift_down_24px,103.61645696702878,11.867387165514836,273.56540638491845,0.0009429057510930032,0.001413700240328164,0.00044151996084715686,0.0003824464749552385,0.00022062313935937702,0.0
episode_000005_000036,C4_sim_shift_down_24px,104.54433677339567,11.836906061880331,266.3305435292603,0.0017689570420282603,0.003924950947688929,0.003924950947688929,0.0002325499065197002,0.0003039266691850223,0.00390625
episode_000005_000037,C4_sim_shift_down_24px,107.32149797340334,12.75826691951462,260.2059459437561,0.0031143271902886378,0.004255147596020766,0.003947455980550829,0.0004043695308482174,0.0004001311515092244,0.00390625
episode_000005_000038,C4_sim_shift_down_24px,105.47851402316651,14.06242342418765,272.2092031897288,0.004255202368112232,0.008069706045653966,0.008069706045653966,0.001988930971832027,0.000359378633966287,0.0078125
episode_000005_000039,C4_sim_shift_down_24px,97.38046925786725,12.359966685746846,264.71381832374146,0.0056054420665301126,0.011934974220494743,0.011934974220494743,0.00225009270127445,0.00022713634021343968,0.01171875
episode_000005_000040,C4_sim_shift_down_24px,97.8970726920586,12.356091799886315,274.3506364598466,0.004974487015840126,0.015827277464491186,0.015827277464491186,0.0025126504668118283,0.00022062313935937572,0.015625
episode_000005_000041,C4_sim_shift_down_24px,92.71886013562818,10.313748450728971,282.73554843180506,0.004853951398865205,0.007934983505039414,0.007934983505039414,0.0013299255756768855,0.00040013115150922397,0.0078125
episode_000005_000042,C4_sim_shift_down_24px,90.88345755311468,10.06478081116275,283.4361736405023,0.004830676301189008,0.007890301991945627,0.007890301991945627,0.0010497748912128805,0.0003459507940157078,0.0078125
episode_000001_000000,C5_sim_zoom_in_1p05,65.02001972821357,7.469659510109249,236.02404522276805,0.40060059193783404,0.6694510186391195,0.15660377363366162,0.0021929161468420256,0.008228527283700823,0.1563720703125
episode_000001_000001,C5_sim_zoom_in_1p05,65.12852734614731,7.431100369989913,230.65512004715055,0.4021589895229695,0.6714006462923415,0.15659289698312012,0.0021060478645371482,0.008042112542168656,0.1563720703125
episode_000001_000002,C5_sim_zoom_in_1p05,65.43763604989267,7.2965069701471865,234.82693197964602,0.4074853237216224,0.673846875669765,0.15830839295949845,0.002261569783831884,0.00817390557930975,0.1580810546875
episode_000001_000003,C5_sim_zoom_in_1p05,64.93604441677874,7.23588197548226,229.4348738055175,0.3899011973808332,0.6557752869709108,0.1490113017887405,0.0020122065830052017,0.0076009668247766695,0.1488037109375
episode_000001_000004,C5_sim_zoom_in_1p05,65.78951090405303,7.19726989875657,235.38186050041645,0.46614991516679105,0.7139021225535712,0.17070329696612707,0.0022365783684424392,0.0073056838108250715,0.1705322265625
episode_000001_000005,C5_sim_zoom_in_1p05,63.459041094142506,6.858274799922638,257.6348301671144,0.5846012659164989,0.7960435840686593,0.2307648117785623,0.003825669614005568,0.011041643022543055,0.23046875
episode_000001_000006,C5_sim_zoom_in_1p05,64.33423165722408,6.894151603093852,260.2467891045146,0.6767512115545433,0.85072135378309,0.34872399427781803,0.003662081066742051,0.011630817995917943,0.3485107421875
episode_000001_000007,C5_sim_zoom_in_1p05,65.4225464366099,6.653500671307931,287.4837420919257,0.8131463968717801,0.919074256688277,0.5346247743462013,0.004627879333084108,0.01390697701966556,0.534423828125
episode_000001_000008,C5_sim_zoom_in_1p05,67.86230268777106,7.189150537143758,288.97594643644874,0.7129410242121403,0.8857684517511265,0.37256444757669555,0.0046931652720318415,0.014478764050872457,0.37225341796875
episode_000001_000009,C5_sim_zoom_in_1p05,67.96723219880339,7.525495844705035,269.7936333869343,0.7095709360144158,0.8566507165360916,0.3905968165509471,0.004009142031655726,0.012352510414515322,0.390380859375
episode_000001_000010,C5_sim_zoom_in_1p05,66.69677246124388,6.830981138989402,241.82901335994353,0.5587736750085869,0.7220299541907653,0.24208981060838147,0.0029608860074010483,0.007881650131335776,0.241943359375
episode_000001_000011,C5_sim_zoom_in_1p05,66.94983688203179,7.069160619900145,257.30003009613864,0.694594965002444,0.8516011602587652,0.4298753089816307,0.003785256916635331,0.009728804303965213,0.42974853515625
