phase,count,repr_metric,action_metric,spearman,pearson
alignment,85,action_head_output_pooled_l2,action_chunk_mean_l2,0.7976157905022474,0.8379252698171047
alignment,85,action_head_output_pooled_l2,action_chunk_max_l2,0.8594293531366035,0.8410963497370989
descent_to_grasp,40,vision_backbone_output_pooled_cosine_distance,action_first_l2,0.11932457786116323,0.15111174035246766
descent_to_grasp,40,vision_backbone_output_pooled_cosine_distance,action_first_translation_l2,0.012382739212007506,0.057157685031313625
descent_to_grasp,40,vision_backbone_output_pooled_cosine_distance,action_first_rotation_l2,-0.5431519699812383,-0.5190472740277259
descent_to_grasp,40,vision_backbone_output_pooled_cosine_distance,action_first_gripper_abs,0.11737111342013133,0.15115621718992295
descent_to_grasp,40,vision_backbone_output_pooled_cosine_distance,action_chunk_mean_l2,-0.22607879924953095,-0.2042692550058472
descent_to_grasp,40,vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.050093808630394,0.01733231556044098
descent_to_grasp,40,vision_backbone_output_pooled_l2,action_first_l2,0.06341463414634146,0.05508542097146427
descent_to_grasp,40,vision_backbone_output_pooled_l2,action_first_translation_l2,-0.07054409005628517,-0.0689122868519805
descent_to_grasp,40,vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.6142589118198875,-0.6115590630606585
descent_to_grasp,40,vision_backbone_output_pooled_l2,action_first_gripper_abs,0.06117183529170713,0.055138949635672944
descent_to_grasp,40,vision_backbone_output_pooled_l2,action_chunk_mean_l2,-0.30112570356472795,-0.32373394886954704
descent_to_grasp,40,vision_backbone_output_pooled_l2,action_chunk_max_l2,-0.1296435272045028,-0.11755930192276612
descent_to_grasp,40,projector_output_pooled_cosine_distance,action_first_l2,0.025140712945590993,0.09417602513291747
descent_to_grasp,40,projector_output_pooled_cosine_distance,action_first_translation_l2,-0.08705440900562852,-0.007466409267613982
descent_to_grasp,40,projector_output_pooled_cosine_distance,action_first_rotation_l2,-0.5463414634146342,-0.4791753354440454
descent_to_grasp,40,projector_output_pooled_cosine_distance,action_first_gripper_abs,0.023736923817180837,0.09421572567605165
descent_to_grasp,40,projector_output_pooled_cosine_distance,action_chunk_mean_l2,-0.29718574108818013,-0.2546204064546725
descent_to_grasp,40,projector_output_pooled_cosine_distance,action_chunk_max_l2,-0.13921200750469043,-0.054657379162527185
descent_to_grasp,40,projector_output_pooled_l2,action_first_l2,0.23696060037523453,0.2020752978912056
descent_to_grasp,40,projector_output_pooled_l2,action_first_translation_l2,0.08442776735459662,0.1543732891388674
descent_to_grasp,40,projector_output_pooled_l2,action_first_rotation_l2,-0.400750469043152,-0.423683180682355
descent_to_grasp,40,projector_output_pooled_l2,action_first_gripper_abs,0.23736923817180836,0.2021123383498238
descent_to_grasp,40,projector_output_pooled_l2,action_chunk_mean_l2,-0.0874296435272045,-0.06914273645126018
descent_to_grasp,40,projector_output_pooled_l2,action_chunk_max_l2,0.04803001876172608,0.08039750655995179
descent_to_grasp,40,action_hidden_states_input_pooled_cosine_distance,action_first_l2,0.8326454033771107,0.7931141225860153
descent_to_grasp,40,action_hidden_states_input_pooled_cosine_distance,action_first_translation_l2,0.9264540337711069,0.8873269644492313
descent_to_grasp,40,action_hidden_states_input_pooled_cosine_distance,action_first_rotation_l2,0.6322701688555347,0.6934792454373309
descent_to_grasp,40,action_hidden_states_input_pooled_cosine_distance,action_first_gripper_abs,0.83248112660018,0.7930709966890743
descent_to_grasp,40,action_hidden_states_input_pooled_cosine_distance,action_chunk_mean_l2,0.9039399624765478,0.8968187625818533
descent_to_grasp,40,action_hidden_states_input_pooled_cosine_distance,action_chunk_max_l2,0.9549718574108818,0.8726114141674001
descent_to_grasp,40,action_hidden_states_input_pooled_l2,action_first_l2,0.2544090056285178,0.29801275435614105
descent_to_grasp,40,action_hidden_states_input_pooled_l2,action_first_translation_l2,-0.010694183864915573,0.09408864915210882
descent_to_grasp,40,action_hidden_states_input_pooled_l2,action_first_rotation_l2,-0.5093808630393997,-0.24449429103968237
descent_to_grasp,40,action_hidden_states_input_pooled_l2,action_first_gripper_abs,0.2530374843278131,0.29805449844830845
descent_to_grasp,40,action_hidden_states_input_pooled_l2,action_chunk_mean_l2,-0.1896810506566604,-0.0721244038381415
descent_to_grasp,40,action_hidden_states_input_pooled_l2,action_chunk_max_l2,-0.030581613508442778,0.02691367975573525
descent_to_grasp,40,action_head_output_pooled_cosine_distance,action_first_l2,0.8480300187617261,0.8181829077349573
descent_to_grasp,40,action_head_output_pooled_cosine_distance,action_first_translation_l2,0.951594746716698,0.930173013922767
descent_to_grasp,40,action_head_output_pooled_cosine_distance,action_first_rotation_l2,0.7622889305816135,0.7786305189946624
descent_to_grasp,40,action_head_output_pooled_cosine_distance,action_first_gripper_abs,0.8480555509229153,0.818137697536345
descent_to_grasp,40,action_head_output_pooled_cosine_distance,action_chunk_mean_l2,0.9853658536585366,0.9734806006452543
descent_to_grasp,40,action_head_output_pooled_cosine_distance,action_chunk_max_l2,0.9782363977485928,0.8917122271838436
descent_to_grasp,40,action_head_output_pooled_l2,action_first_l2,0.8810506566604127,0.896006484261696
descent_to_grasp,40,action_head_output_pooled_l2,action_first_translation_l2,0.9600375234521576,0.9617576426837298
descent_to_grasp,40,action_head_output_pooled_l2,action_first_rotation_l2,0.7311444652908068,0.7264882031657229
descent_to_grasp,40,action_head_output_pooled_l2,action_first_gripper_abs,0.8810808362337756,0.8959697587694389
descent_to_grasp,40,action_head_output_pooled_l2,action_chunk_mean_l2,0.976172607879925,0.9883753200902055
descent_to_grasp,40,action_head_output_pooled_l2,action_chunk_max_l2,0.9838649155722327,0.9652089131272591
grasp_close,50,vision_backbone_output_pooled_cosine_distance,action_first_l2,-0.3132292917166867,-0.2401752068609005
grasp_close,50,vision_backbone_output_pooled_cosine_distance,action_first_translation_l2,-0.7537575030012005,-0.7661279996167574
grasp_close,50,vision_backbone_output_pooled_cosine_distance,action_first_rotation_l2,-0.7428629455263503,-0.7810800031010942
grasp_close,50,vision_backbone_output_pooled_cosine_distance,action_first_gripper_abs,-0.18582550841915596,-0.22701837227835414
grasp_close,50,vision_backbone_output_pooled_cosine_distance,action_chunk_mean_l2,-0.31092436974789917,-0.2619128970775082
grasp_close,50,vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.24120048019207682,-0.24026937035155968
grasp_close,50,vision_backbone_output_pooled_l2,action_first_l2,-0.22948379351740697,-0.11833377635016558
grasp_close,50,vision_backbone_output_pooled_l2,action_first_translation_l2,-0.6902761104441777,-0.6663136640285338
grasp_close,50,vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.7606462846726203,-0.7448318548553563
grasp_close,50,vision_backbone_output_pooled_l2,action_first_gripper_abs,-0.1268237916135028,-0.10401181403025558
grasp_close,50,vision_backbone_output_pooled_l2,action_chunk_mean_l2,-0.1958703481392557,-0.117829147623121
grasp_close,50,vision_backbone_output_pooled_l2,action_chunk_max_l2,-0.0902280912364946,-0.1135164561511534
grasp_close,50,projector_output_pooled_cosine_distance,action_first_l2,-0.2024969987995198,0.05138796788603075
grasp_close,50,projector_output_pooled_cosine_distance,action_first_translation_l2,-0.7149579831932773,-0.6031527203694771
grasp_close,50,projector_output_pooled_cosine_distance,action_first_rotation_l2,-0.7168608199097771,-0.6121911832053141
grasp_close,50,projector_output_pooled_cosine_distance,action_first_gripper_abs,-0.06084552045582983,0.07055366976300757
grasp_close,50,projector_output_pooled_cosine_distance,action_chunk_mean_l2,-0.1983673469387755,0.04302267544888724
grasp_close,50,projector_output_pooled_cosine_distance,action_chunk_max_l2,-0.09435774309723889,0.04832357834912735
grasp_close,50,projector_output_pooled_l2,action_first_l2,0.37142857142857144,0.2179610671524114
grasp_close,50,projector_output_pooled_l2,action_first_translation_l2,0.2496518607442977,0.09885878074642822
grasp_close,50,projector_output_pooled_l2,action_first_rotation_l2,-0.13995968538902254,-0.26624725611343353
grasp_close,50,projector_output_pooled_l2,action_first_gripper_abs,0.3615350130278832,0.2356484257431234
grasp_close,50,projector_output_pooled_l2,action_chunk_mean_l2,0.42953181272509006,0.2626442955109011
grasp_close,50,projector_output_pooled_l2,action_chunk_max_l2,0.4561344537815126,0.20614205825235246
grasp_close,50,action_hidden_states_input_pooled_cosine_distance,action_first_l2,0.597983193277311,0.37038609369871184
grasp_close,50,action_hidden_states_input_pooled_cosine_distance,action_first_translation_l2,0.7185114045618247,0.6061700866276867
grasp_close,50,action_hidden_states_input_pooled_cosine_distance,action_first_rotation_l2,0.48822475418327294,0.23988915876568903
grasp_close,50,action_hidden_states_input_pooled_cosine_distance,action_first_gripper_abs,0.47644882971186653,0.36846289557893697
grasp_close,50,action_hidden_states_input_pooled_cosine_distance,action_chunk_mean_l2,0.6295798319327731,0.4401124363694594
grasp_close,50,action_hidden_states_input_pooled_cosine_distance,action_chunk_max_l2,0.5631212484993997,0.37524262123303426
grasp_close,50,action_hidden_states_input_pooled_l2,action_first_l2,0.28941176470588237,0.15257527053808534
grasp_close,50,action_hidden_states_input_pooled_l2,action_first_translation_l2,0.7715246098439376,0.7311542870245866
grasp_close,50,action_hidden_states_input_pooled_l2,action_first_rotation_l2,0.45232163433931694,0.2909616617860066
grasp_close,50,action_hidden_states_input_pooled_l2,action_first_gripper_abs,0.14526182811526941,0.14605255668236394
grasp_close,50,action_hidden_states_input_pooled_l2,action_chunk_mean_l2,0.3102521008403361,0.21201251860275613
grasp_close,50,action_hidden_states_input_pooled_l2,action_chunk_max_l2,0.23620648259303723,0.15131350841305072
grasp_close,50,action_head_output_pooled_cosine_distance,action_first_l2,0.6650180072028812,0.48577337130570725
grasp_close,50,action_head_output_pooled_cosine_distance,action_first_translation_l2,0.9204801920768307,0.9186943283582358
grasp_close,50,action_head_output_pooled_cosine_distance,action_first_rotation_l2,0.6970588314550116,0.6925288963889681
grasp_close,50,action_head_output_pooled_cosine_distance,action_first_gripper_abs,0.541231120123479,0.48524665822092955
grasp_close,50,action_head_output_pooled_cosine_distance,action_chunk_mean_l2,0.6927731092436975,0.5406463781233924
grasp_close,50,action_head_output_pooled_cosine_distance,action_chunk_max_l2,0.6156542617046818,0.47331543632435813
grasp_close,50,action_head_output_pooled_l2,action_first_l2,0.6711644657863145,0.4406698691491477
grasp_close,50,action_head_output_pooled_l2,action_first_translation_l2,0.9244177671068428,0.8777507144567457
grasp_close,50,action_head_output_pooled_l2,action_first_rotation_l2,0.6995100484724704,0.6284647406311052
grasp_close,50,action_head_output_pooled_l2,action_first_gripper_abs,0.5487059997863574,0.4403705959677913
grasp_close,50,action_head_output_pooled_l2,action_chunk_mean_l2,0.6979591836734694,0.5047056685741027
grasp_close,50,action_head_output_pooled_l2,action_chunk_max_l2,0.6192076830732293,0.4313813478867159
hold,10,vision_backbone_output_pooled_cosine_distance,action_first_l2,-0.5878787878787879,-0.4694743458305602
hold,10,vision_backbone_output_pooled_cosine_distance,action_first_translation_l2,-0.5636363636363636,-0.4537681370697727
hold,10,vision_backbone_output_pooled_cosine_distance,action_first_rotation_l2,-0.503030303030303,-0.4181682662216173
hold,10,vision_backbone_output_pooled_cosine_distance,action_first_gripper_abs,-0.5878787878787879,-0.46944068986792964
hold,10,vision_backbone_output_pooled_cosine_distance,action_chunk_mean_l2,-0.09090909090909091,-0.3373619955695285
hold,10,vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.11515151515151516,-0.290716176344431
hold,10,vision_backbone_output_pooled_l2,action_first_l2,-0.40606060606060607,-0.3773258485108611
hold,10,vision_backbone_output_pooled_l2,action_first_translation_l2,-0.5757575757575758,-0.44217622831674763
hold,10,vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.3333333333333333,-0.36906935276476305
hold,10,vision_backbone_output_pooled_l2,action_first_gripper_abs,-0.40606060606060607,-0.3772787834019151
hold,10,vision_backbone_output_pooled_l2,action_chunk_mean_l2,-0.18787878787878787,-0.28072151275453333
hold,10,vision_backbone_output_pooled_l2,action_chunk_max_l2,-0.2606060606060606,-0.24602692905567541
