planner_phase,token_index,count,token_delta_norm_mean,token_delta_norm_p50,token_delta_norm_p90,token_norm_fraction_mean,token_norm_fraction_p50,token_norm_fraction_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,improved_count,worsened_count
alignment,32,85,40.28846542729632,39.54413597153396,46.058256234475785,0.1486366492096143,0.1451793393049466,0.17497236593558288,0.70108522979796,0.7281169636202225,0.8862460898586413,0.8174176966274471,0.8681089306178005,0.9370547289819738,0.0048711624149476,0.004734024948225695,0.007607973341372462,0.012385289581407385,0.011393084824584246,0.01900470063804614,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.011802155393607303,0.01038133448636186,0.02681164442554312,0.019411908662348844,0.012899341844474728,0.04765632188392817,0.01141569413938507,0.010594643516127397,0.015431720075056872,85,0
alignment,33,85,43.720637455882596,41.55857056696529,50.73544424307893,0.16151563610199285,0.15682262604781752,0.19606193120237977,0.7014442790548996,0.7278039685365034,0.8866985685019446,0.8179695750449569,0.8681089306179622,0.9370547289819738,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.011443106136667667,0.008644168666255503,0.02416394346620048,0.01832559475929818,0.012229298403426918,0.03862934878327507,0.013622967088866305,0.012373216260582244,0.01940853907481964,85,0
alignment,34,85,44.56673459710275,42.64752239507444,53.261958095125294,0.16489998177693446,0.15834682843789213,0.19933142198376733,0.7017866623121702,0.7272777345764085,0.8865780019233368,0.8179776636194293,0.8681089306179622,0.9370547289819738,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.01110072287939701,0.008638538685524666,0.022816238253760123,0.017775059033512,0.01140808722154185,0.03721746414181015,0.014078802103243613,0.01261644639802672,0.020068292623552492,85,0
descent_to_grasp,0,40,85.98541502335642,87.24131679020411,95.73921830371138,0.28557416314512707,0.28668556306751736,0.3330661912232453,0.3814648084012398,0.34716604635432824,0.734059922184241,0.5792397283832393,0.5769877331483234,0.8858685278453092,0.0041060393298297275,0.003580539038548853,0.006983331492236133,0.002245557291652135,0.0008766236734593467,0.0051770254210463445,0.49338506255298853,0.4807099401950836,0.7974352478981018,0.006400614864156403,0.004248726308864456,0.013862346986370979,0.015268943135377156,0.014295135402021139,0.02453403932488039,0.042241629898995534,0.041975294079049805,0.057097666850006924,40,0
descent_to_grasp,1,40,87.28912292642187,87.45440120618525,104.3372291674789,0.2905505343661082,0.2889246641258504,0.33922885374544787,0.375848873592861,0.3335752895941787,0.7272219464700402,0.5728402228406045,0.5769877331483234,0.8858685278453092,0.0033542923446723003,0.002794628870862844,0.006565907450412607,0.0021457503885968987,0.0008051544834790456,0.0051476440661479255,0.4653075706213713,0.4693434238433838,0.773667460680008,0.012016549672535229,0.009919558930238756,0.023182383149161746,0.032503231186167755,0.030579070510723207,0.054729876478499924,0.04434648129076968,0.04264840369832071,0.05929669266105938,40,0
descent_to_grasp,2,40,62.29765593272699,61.00106393062303,72.31249027076021,0.20695995073265214,0.20640050902612606,0.24604415325581883,0.3795335264270371,0.34260768378792383,0.7281116839511095,0.5763120462341852,0.5769877331483234,0.8858685278453092,0.0035082893662957576,0.00300515437798217,0.007052331518663275,0.0023295443502890137,0.0013930386968938947,0.005506279656744926,0.48373103737831114,0.4829149842262268,0.7820707857608795,0.00833189683835915,0.006322264636451663,0.01823364988905808,0.01868990193897132,0.017732530752095688,0.031201642821813518,0.02218138787843485,0.021533000446031396,0.03075033616465743,39,1
descent_to_grasp,3,40,68.99948990029245,66.6792842713983,88.98019394700871,0.2314064961361554,0.224523415107373,0.32970529330306775,0.3741587600888255,0.33837818057231706,0.7194985497571893,0.5746682539239367,0.5769877331483234,0.8858685278413398,0.0034366944087058137,0.002796909568557298,0.006553194295035044,0.0022403476909642955,0.0009992881956769311,0.00501996920781614,0.45685602743178605,0.46299654245376587,0.7394855976104736,0.01370666317657071,0.010486957573507982,0.03055003210261862,0.030330240941588805,0.029141701306617664,0.049873557132341664,0.029132734853539198,0.02553805029235636,0.0559162543744122,40,0
descent_to_grasp,4,40,82.92507655452157,83.5990008324352,102.52261674247627,0.2780299767709712,0.30089727437802566,0.3480304906848777,0.3716554444383815,0.3355285066167271,0.7158029874071513,0.5738213554322436,0.5769877331483234,0.8858685278453092,0.002991742602897006,0.0024524735665638468,0.005777234467250408,0.0019073597219030386,0.0011942115895178193,0.004635930172890969,0.4443440081551671,0.4446116089820862,0.7352461218833923,0.016209978827014714,0.010185659801053626,0.03470490181840172,0.03628742060176961,0.03755947607663272,0.05599915556352788,0.04184685192091052,0.04634344264384399,0.06252743872535182,40,0
descent_to_grasp,5,40,47.5812828282986,47.25411490287099,52.8832513475385,0.15786736512369223,0.1564270398126536,0.1794518600271919,0.3778452027539177,0.34326968701788174,0.7301836805008427,0.5730359065747189,0.5769877331483234,0.8858685278453092,0.0037523867169337714,0.003090633209242521,0.007158414768208737,0.002230307495152938,0.0011794368600685269,0.005186755382966401,0.47528803870081904,0.48165544867515564,0.7934186339378357,0.010020220511478491,0.008193776215648568,0.0200569104909592,0.026531498779556646,0.0240377546879492,0.04153475317455463,0.012655642339129141,0.012310677264889415,0.01623356522780364,40,0
descent_to_grasp,6,40,24.462112544867644,25.254013949148757,31.05869441325785,0.07995891209930325,0.07970472705444158,0.09843268661565657,0.38231165477616613,0.3471095410329792,0.7385069196703596,0.5776633595433092,0.5769877331496274,0.8858685278453092,0.003734923754029966,0.0032829392916396694,0.007420581671985866,0.0022101370311342207,0.0010354364143720849,0.005144880812687432,0.49762209225445986,0.48629602789878845,0.8224661409854889,0.0055537684892300624,0.004660581141129452,0.011272431083742785,0.014539771543167027,0.013648610701277061,0.020789044584083104,0.003305103042362939,0.003181594694951935,0.004858740177779395,40,0
