frame,episode_id,progress,planner_phase,token_index,delta_hidden_norm,token_delta_norm,token_norm_fraction,hidden_after_gap,repr_gap_reduction_ratio,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000045,episode_000001,45,lift,6,280.6497032191949,32.13886752101312,0.11451595049759167,278.8034237800694,0.006578590384909534,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.01517951811274476,0.005357155195673598,0.00032116548823135687,0.014199137687683105,0.00625368304090618,0.01517951811274476,0.0008874133220016069,0.1242684984074715
episode_000001_000045,episode_000001,45,lift,7,280.6497032191949,32.69655486687846,0.11650308014522137,278.7385714551529,0.006809669641978443,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.01869953738278503,0.005904230326165337,0.000296388679856212,0.017740488052368164,0.006693307974289529,0.01869953738278503,0.00044778838861825754,0.06270583197058587
episode_000001_000045,episode_000001,45,lift,8,280.6497032191949,38.912416830812475,0.13865119536727546,277.93898563067273,0.009658722448051348,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.006732721762153106,0.0186995364595991,0.0004083746007546808,0.057186541113750565
episode_000001_000045,episode_000001,45,lift,9,280.6497032191949,55.51915913812726,0.19782368732727756,275.10339671770225,0.01976238149505846,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.006838754466625683,0.0186995364595991,0.00030234189628210346,0.042338302260213824
episode_000001_000045,episode_000001,45,lift,10,280.6497032191949,66.69273093157109,0.23763691949990157,272.6102264367778,0.028645947920843084,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.006802260063078251,0.0186995364595991,0.0003388362998295357,0.047448778536236524
episode_000001_000045,episode_000001,45,lift,11,280.6497032191949,59.880709178311605,0.21336459113068498,274.18708318468373,0.02302735388771714,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.006706229060463772,0.0186995364595991,0.0004348673024440145,0.06089643387292713
episode_000001_000045,episode_000001,45,lift,12,280.6497032191949,53.18581250725243,0.1895095982542796,275.5640130078047,0.0181211316208596,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.006772442045802051,0.0186995364595991,0.0003686543171057353,0.051624330266791515
episode_000001_000045,episode_000001,45,lift,13,280.6497032191949,45.56361029172962,0.16235046668174533,276.92636807318576,0.013266841558357674,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.006868168422662713,0.0186995364595991,0.0002729279402450737,0.038219333051254335
episode_000001_000045,episode_000001,45,lift,14,280.6497032191949,38.9553356044234,0.13880412185577207,277.93297347556467,0.009680144723005157,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.01869953738278503,0.005904230326165337,0.000296388679856212,0.017740488052368164,0.00690941459715991,0.01869953738278503,0.00023168176574787664,0.03244344481209858
episode_000001_000045,episode_000001,45,lift,15,280.6497032191949,41.04317244732636,0.14624342009465996,277.63233585532004,0.010751364883925203,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.0068878401945911116,0.0186995364595991,0.00025325616831667515,0.03546460591571567
episode_000001_000045,episode_000001,45,lift,16,280.6497032191949,47.058774574190636,0.16767797733046763,276.6762144684608,0.014158179057936624,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.0186995364595991,0.005904227414380326,0.0002963884392791565,0.017740488052368164,0.006880429491627792,0.0186995364595991,0.0002606668712799949,0.036502360146538314
