episode_id,token_index,count,token_delta_norm_mean,token_delta_norm_p50,token_delta_norm_p90,token_norm_fraction_mean,token_norm_fraction_p50,token_norm_fraction_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,improved_count,worsened_count
episode_000001,10,46,64.5120483567169,64.23457968163,78.59941578720469,0.23753012812677837,0.23946294237165724,0.2662172309867928,0.30442982497352217,0.3991175016195237,0.6777019865977463,0.4172848772627328,0.5789074608661098,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.01134982296798294,0.011168448781910256,0.027095608839040775,0.03437425334707634,0.037563592483590716,0.0686680845584971,0.02888229259613865,0.02909455170703069,0.03608792229887696,42,4
episode_000001,11,46,61.13734677108859,57.850760858775445,82.25848777876337,0.22418568154051452,0.21742167018213848,0.2683148852973549,0.3051219447790472,0.3982434375485791,0.685784020292709,0.4172848772624387,0.5789074608652436,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.010657703162457793,0.013454540339274651,0.023673740176836156,0.035690322028185825,0.038615094318053995,0.06592573434274737,0.026053729507010907,0.023922461505806097,0.036670478056371775,42,4
episode_000001,12,46,50.79972081737547,47.463098613863345,71.55953292465753,0.18583244424423742,0.17691578255369944,0.23199343685124002,0.3058998480749225,0.3974217684813113,0.6806202712517249,0.41779421121185367,0.5790750857503858,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.009879799866582542,0.008006882327405263,0.023277679372918664,0.033188793951161456,0.031123711212109176,0.06337129589835234,0.017988037172112576,0.015786332527713148,0.027303599297000193,41,5
episode_000001,13,46,42.135163558583415,41.36355255421367,56.80529675628674,0.15461928026463936,0.15455804060917427,0.1829320944966675,0.30720840807016947,0.4011210812192936,0.68120413007561,0.41960845117497686,0.5966119071303788,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.008571239871335581,0.006624644580505518,0.021780948813874823,0.023374212135525044,0.024582219055767664,0.04611384757947384,0.012234807804776126,0.012017383624420463,0.016876233911436618,41,5
episode_000001,14,46,36.26119568679952,35.813572557367706,46.63654458653515,0.1330625451492651,0.1314476291354788,0.15464999102391266,0.3079890202943281,0.3978707667981959,0.6905568545182481,0.42549669226517783,0.6122023672433137,0.8741044501821946,0.003958902175055311,0.004071465305141873,0.005302732392491466,0.004934546698240099,0.002887160369249203,0.010822554889396891,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.007790627647176949,0.00781402833970149,0.020112492941507826,0.015361909709622305,0.017941915410224628,0.043432963005468624,0.009043310426550183,0.008677045182139702,0.01203349164211889,37,9
episode_000001,15,46,35.75410144693133,35.8124227790053,43.34356108458486,0.1312596150428824,0.13450542309782104,0.1468900892150232,0.30803632349603316,0.39717199146861193,0.6913060257275152,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.0077433244454718775,0.006867093383721129,0.020183509493346657,0.015974256828631777,0.017498082992338515,0.04500698331454797,0.008796434911543537,0.009087497003627598,0.010847207703428481,38,8
episode_000001,16,46,39.00687881418359,39.29450357152763,46.06969102387076,0.14358278855124929,0.14701381873814512,0.159502671918105,0.30751153286832095,0.39711638346121,0.687219702505554,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.008268115073184083,0.007183759073545487,0.02167486357138415,0.014907668005945328,0.01707679597901932,0.04363269890607149,0.01045497561388585,0.010865878684370748,0.012811576156037265,37,9
episode_000001,17,46,42.02088567608433,41.355012074406595,48.37801556576718,0.1551049506696531,0.15469509404070853,0.16928353844469868,0.3072428825718987,0.3969586527285619,0.6882619713943557,0.42549669214421887,0.6122023672387225,0.874104450195663,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.008536765369606346,0.008272030322612672,0.021813898066295134,0.01686591920351792,0.020492170270089143,0.044943661447419736,0.012145737876928018,0.01203774350632468,0.014433217203943336,37,9
episode_000001,18,46,41.26972365111602,41.46155586347427,46.29055460986561,0.15243617097508694,0.15166610609355816,0.16594268747386431,0.30801813753310264,0.3962095466997374,0.6920076095503089,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.007761510408402361,0.006419394202805351,0.020675229482796154,0.01748361601180348,0.017559740271375423,0.04681696651260914,0.011720484274334945,0.011568974041521768,0.013864690555097405,38,8
episode_000001,19,46,38.32561192698476,38.8657397681735,42.44051334951931,0.1415598067225859,0.14179745368467062,0.15040857216666145,0.30930576556198863,0.3982623568841117,0.6964348404205343,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.006473882379516411,0.0046472181227643905,0.01780627480555519,0.015255899127676789,0.015596029659358666,0.04153448597957561,0.01011069524575716,0.010105886050499648,0.01137617837491744,38,8
episode_000001,20,46,34.93719747824576,35.944019892774506,38.542392741677816,0.12889712779508913,0.13109837818312503,0.13934970105478617,0.30980066526477906,0.40178789548351873,0.6967792163146956,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.005978982676726003,0.0052622630753559885,0.015411812063738067,0.014303774288278429,0.015266402791246584,0.03474826298491762,0.008395031100704761,0.008630646218229732,0.009759218202148466,37,9
episode_000001,21,46,32.43684567876799,33.51500673465198,37.15087577157702,0.11943521836330445,0.12068314217746823,0.13364100434412826,0.309112798035899,0.3975134319589225,0.6917964076053473,0.4254966922724075,0.6122023672469235,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.00666684990560606,0.003381904902154148,0.01980765106511148,0.013184446326753686,0.011679706514575193,0.044694875254676886,0.007229228561059785,0.0073089549916552175,0.00897042858988917,37,9
