token_index,count,token_delta_norm_mean,token_delta_norm_p50,token_delta_norm_p90,token_norm_fraction_mean,token_norm_fraction_p50,token_norm_fraction_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,improved_count,worsened_count
10,225,67.63205406403425,67.88564848470016,82.63439375581889,0.24285979730169008,0.24502064171545693,0.2828051317110415,0.35755002883673087,0.33259948631754577,0.8202527193684453,0.4609562403649353,0.5579366194232526,0.9243781255221988,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.012712033913744949,0.0032612353477962652,0.034372370058541116,0.024229767325391022,0.03205870421255244,0.06554234696495054,0.03041378704357391,0.030482137795622713,0.04082261466074342,200,25
11,225,63.01168615069955,62.15560377423426,81.16302180347508,0.22543722991980605,0.22022073800793054,0.27236656653760133,0.3591708793784066,0.33053926522444826,0.8276421860734419,0.4610177884408157,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.0110911833720692,0.0036261990042606718,0.028941964024285435,0.020522779035445884,0.025521296888635824,0.06064186335645702,0.026336023202975168,0.02454993641332801,0.0378064889343248,199,26
12,225,53.145038514997836,49.98994849094451,71.96393203611119,0.19016982847212052,0.18438388876258655,0.24442961414695136,0.3594027948037182,0.3305614151130046,0.8288598420487218,0.4611811355098752,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.010859267946757583,0.005805415524851254,0.02982090272233939,0.019283248615845353,0.02337078728642027,0.06010833750396784,0.018920594317029776,0.01714569667483978,0.030332969769243483,196,29
13,225,44.30421272269961,42.610707595579015,59.17309843069871,0.15893435196234823,0.15224383942557,0.20232388440179108,0.36061659174556454,0.3280228294412173,0.83076215988267,0.4615764325906722,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.00964547100491128,0.005050193317574059,0.02879551887817633,0.011347787332662371,0.017774958632666277,0.049593901705204446,0.013063772047152785,0.011657036572343822,0.020681347257677264,180,45
14,225,37.95755504043496,37.416638870284444,50.32941871789928,0.13616414924508893,0.1339874504396185,0.16426270992064637,0.36230195523381276,0.326007487063274,0.8357942913377486,0.46372363744919426,0.55793661940154,0.920188386607037,0.004149627949683974,0.0041474909635372224,0.0069405515653305425,0.005909907058573434,0.0018109530821350658,0.016633141097045015,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.007960107516662984,0.00555363753877236,0.021657448697752855,0.0023478095898993925,0.013104391279206406,0.044218542139369085,0.009581280800234558,0.009016971323579606,0.013586250622100993,169,56
15,225,36.5148876710868,36.55345099356817,45.12654029366976,0.13105877164617372,0.1329740852729336,0.15141557922210983,0.3622238802268034,0.3267543714037885,0.8362642386936032,0.4637236374617904,0.55793661940154,0.920188386607037,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.008038182523672423,0.005221974800501961,0.0220927075812563,0.002670158866509335,0.013369449642281456,0.042664922682947345,0.008817625091071367,0.008880485185652936,0.011529850849774332,166,59
16,225,39.143645596493606,39.315306760564646,49.22702457910872,0.14045720674837958,0.14050964664135862,0.1570486616930302,0.36150375981692223,0.3283925794256885,0.8349172274111468,0.4637236374617904,0.55793661940154,0.920188386607037,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.008758302933553506,0.004957775845558898,0.02361574709571621,0.0028853290968300074,0.012209269354827131,0.046829930835001,0.010023561026903778,0.009920690449133478,0.012409134714757662,163,62
17,225,41.79705925803252,40.573083818570474,52.20011838557494,0.14980748408366681,0.14781216683430226,0.1703895504495544,0.36128653488240364,0.328255815674671,0.8352001229469604,0.4637265257791398,0.5579366194232526,0.920188386623437,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.008975527868072174,0.005336929598279028,0.02300270140513161,0.0038371657948966832,0.012792653663658457,0.04793295002508867,0.011469142168781888,0.010984548484833666,0.01462321895422349,164,61
18,225,41.57210191258613,40.00666212309306,52.062376742604364,0.1489785356445348,0.14588857868629268,0.1664949466143731,0.3616917126786672,0.3285173544720803,0.835943006324824,0.46373186482570117,0.55793661940154,0.920188386607037,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.008570350071808645,0.0044842003609428804,0.022158921196165245,0.0033312380262560588,0.012300106107873982,0.046849286100443366,0.011453917842741324,0.010698972704014102,0.013957698860570371,165,60
19,225,38.93691959988208,37.45459893157158,47.535329873813325,0.13983560884249335,0.1391840051086663,0.15616464335059213,0.3628948680608764,0.32742031216256634,0.8369702964914315,0.46373639596071536,0.55793661940154,0.920188386607037,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.007367194689599354,0.004081440852585494,0.01929802863343859,0.0023481145799121006,0.01009739649709684,0.04397856685330295,0.009972758685266312,0.009733463797796086,0.01226897409355243,163,62
20,225,35.609534746762364,35.30111800802867,42.93968394381236,0.12814105190994177,0.12873566605187922,0.14137220495529498,0.36337120419772406,0.3259925257308048,0.8367005378255301,0.4637236374617904,0.55793661940154,0.920188386607037,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.006890858552751734,0.004151006652484801,0.01914737220458038,0.0018061054622771128,0.010213532522360035,0.04053679966241334,0.00831833886141735,0.008321055842073783,0.010043505608584597,162,63
21,225,32.9601139418035,32.99671288551165,38.93039249074794,0.11863323090575276,0.11884861677585658,0.13575130329606688,0.3636394073012428,0.3244239841776955,0.8400245551225564,0.46297442166868136,0.5255439104950423,0.9230799205489512,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.006622655449233083,0.0022792486464615624,0.019838357453722075,0.0006498123137200324,0.008954789827997682,0.048979033363777964,0.0071429239786773065,0.007087613990808527,0.009257111199449537,162,63
22,225,31.86629521195584,31.540492624871522,38.78787525674062,0.11467182778559444,0.1149789214076544,0.13109056142786532,0.36393815884829356,0.32562251800143116,0.8402465438033859,0.46296073578145375,0.5255439104950423,0.9230799205456794,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.006323903902182241,0.0020744292847869605,0.018583698989430263,-0.0009217560746390329,0.008458192214716737,0.04925051989100004,0.006684033934610066,0.00663206834932895,0.00862961320542141,157,68
23,225,32.39412864056473,32.32181892793963,40.08605552675291,0.11657380162254598,0.11732637331898628,0.13223584035166522,0.3640905342150445,0.32830133605332595,0.8405534130846325,0.46305236703852704,0.5255439104950423,0.9230799205456794,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.006171528535431266,0.0018396590225494558,0.019952645246697022,-0.0018910187617286953,0.006453845849372942,0.04944446258852984,0.006908816786726462,0.006906589426848654,0.008781722268703643,159,66
24,225,33.66012163062074,33.95157901764831,40.14118028371214,0.12123245243533386,0.12360259884736752,0.13731601929708342,0.3639585091334603,0.32670235028682953,0.8405373535841806,0.46300617546264883,0.5255439104950423,0.9230799205456794,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.006303553617015525,0.0016862804965308564,0.019359633142733,-0.0031950147256660996,0.007575930443257603,0.04943205287928239,0.007469235498985915,0.007668201880955198,0.009472711728398453,158,67
25,225,34.893918144930225,34.99731579587174,42.20384089603515,0.12576117306289594,0.12834903998938896,0.14060926040552385,0.363629164505324,0.3253677172846433,0.8398979842135543,0.462965318789282,0.5255439104977667,0.9230799205456794,0.004149627949683974,0.0041474909635372224,0.0069405515653305425,0.005909907058573434,0.0018109530821350658,0.016633141097045015,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.0066328982451517565,0.0017915523818705648,0.019810908775540925,-0.0008518821937989745,0.006929641095980373,0.05064403637279522,0.008035635247063062,0.008270942276166765,0.009934834842891677,161,64
26,225,35.94512460944507,35.57561214084843,43.329345752841306,0.12945901512370328,0.13087216612069907,0.14483262522724377,0.3641684362422385,0.32612753154588914,0.8409308465016457,0.4630513231078489,0.5255439104950423,0.9230799205456794,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.006093626508237278,0.0014297744663567813,0.019504635565063922,-1.01887472283065e-05,0.006568866000522419,0.044916487561300004,0.008518438395218072,0.00860074836881377,0.010543830948422228,158,67
27,225,35.99160261476943,35.03607255917536,44.10219963383193,0.12965219167531997,0.13121668319774207,0.14448505866796632,0.36377028759436497,0.3260563390498629,0.8405301493301198,0.46307365786620835,0.5255439104950423,0.9230799205456794,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.0064917751561108196,0.0013837155426279502,0.020713968726368104,0.0012777336841565039,0.006580232641252409,0.05079460640316914,0.008532731559626923,0.008646288123868631,0.010493017922635704,159,66
28,225,35.12917870150471,34.52671024728765,42.948995481756256,0.1267152212045522,0.1291900488564018,0.14161699087555263,0.36489730983401414,0.3311031391967899,0.8410024683607127,0.45258141957094467,0.5078800991833716,0.9148625098164683,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.005364752916461691,0.0010938978730052618,0.015998963302913526,-0.0008847978135060779,0.0049838860788111155,0.04036574867487639,0.008142879238696773,0.00838014780033753,0.010078478943090849,158,67
29,225,34.20286592244799,33.713363089996086,41.11672248992375,0.12343142101849938,0.12412447563682018,0.13841592170472775,0.3652602937793606,0.3324512032531787,0.8412986664697888,0.4527805925071772,0.5080798772966628,0.9148625098104708,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.005001768971115159,0.0011535085987789406,0.01496659754078462,-0.004046663211420878,0.004532220422030926,0.03770668263418648,0.007723376627944651,0.007733345038802345,0.009625811994776261,156,69
30,225,33.93186019301576,33.24420443247199,41.136611842165614,0.12245706298108423,0.12333930861928381,0.13878797468859672,0.3653933200206126,0.3332498938149698,0.841582761919868,0.45230336005259575,0.5128308571870412,0.9148625098104708,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.004868742729863236,0.0010599375821296886,0.01488123930096472,-0.005628900032743434,0.00382481025178898,0.03931900226317645,0.007618052510899752,0.007635442516553387,0.009677896590762385,156,69
31,225,34.605935986794414,33.68776096233865,42.3065171362176,0.1248997949852254,0.12582038472143706,0.14960487779621734,0.3652179940192926,0.3315138560810218,0.8415855913590461,0.4518346773133134,0.5078800991870376,0.9148625098104708,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.00504406873118319,0.001074780451955859,0.014524236886913178,-0.006823244411627406,0.0044958241450325795,0.042442061531124474,0.007982162773163406,0.00794696170590306,0.011254143496004827,155,70
32,225,36.50783354287625,34.69799423890393,45.034272651108544,0.13170373015620818,0.12625040177988342,0.15981174939302994,0.36453049413719607,0.3316785982313638,0.8416325521870988,0.45135535289031176,0.5078800991870376,0.9148625098104708,0.004149627949683974,0.0041474909635372224,0.0069405515653305425,0.005909907058573434,0.0018109530821350658,0.016633141097045015,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.0057315686132797415,0.0010473237524385448,0.014942705294517083,-0.004414964165180823,0.004703459016424213,0.047779328391719465,0.009039010578331366,0.008001594733934228,0.01285249149108694,156,69
33,225,38.67376770991593,36.57009189370484,48.50044934998914,0.13974399869233858,0.1316278695354885,0.177170168687964,0.3647173290399836,0.33405948669998276,0.8421681102898472,0.4515928687200091,0.5154738243299947,0.9148625098104708,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.005544733710492258,0.0008396345936611538,0.013872432963039926,0.00010950016755946991,0.004620398322237838,0.04779276409533798,0.010318788178478163,0.008700799979366423,0.01581982504778601,155,70
34,225,39.340302649460924,37.53103974859494,50.19224900449562,0.14237880431660235,0.13451255547918756,0.18484890903836682,0.3649090700899038,0.3355928768507107,0.841884757751696,0.45168127765148647,0.5151899682715426,0.9148625098104708,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.005352992660572028,0.0008263802254759867,0.015230817113519762,0.00043817226626887497,0.00489597906979445,0.04415375189874486,0.010677988538680138,0.009088110668532497,0.017233310499576476,155,70
