variant,frame,episode_id,progress,planner_phase,total_energy,sensitive_energy,null_energy,sensitive_ratio
original_P0_raw,episode_000002_000027,episode_000002,27,descent_to_grasp,321.8094650004371,115.87480325092687,300.2238527089854,0.36007270094050675
original_P0_raw,episode_000002_000028,episode_000002,28,descent_to_grasp,325.98386797628825,115.73629559311743,304.7467671086351,0.35503688054138915
original_P0_raw,episode_000002_000029,episode_000002,29,grasp_close,286.95942947488066,57.0282171501806,281.23566028016586,0.19873268236746558
original_P0_raw,episode_000002_000030,episode_000002,30,grasp_close,302.0862241624844,56.29145083326514,296.79514718376527,0.18634232987396146
original_P0_raw,episode_000002_000031,episode_000002,31,grasp_close,287.71845469205334,53.82910990756202,282.6381716911974,0.18708952807763277
original_P0_raw,episode_000002_000032,episode_000002,32,grasp_close,282.96165134853374,49.74735539119347,278.5542976970046,0.17580953162419144
original_P0_raw,episode_000002_000033,episode_000002,33,grasp_close,274.89884877732675,47.63903121903241,270.73954229778036,0.1732965832011211
original_P0_raw,episode_000002_000034,episode_000002,34,grasp_close,275.4125531202602,46.474080241289876,271.4631361381252,0.1687435075662537
original_P0_raw,episode_000002_000035,episode_000002,35,grasp_close,278.3386525056113,48.331313291523664,274.1103603188979,0.1736421185359777
original_P0_raw,episode_000002_000036,episode_000002,36,grasp_close,279.6563100151039,49.94442631016701,275.1603278305435,0.17859216660432076
original_P0_raw,episode_000002_000037,episode_000002,37,grasp_close,275.7327805894989,48.7438535859503,271.3901306776062,0.17677932047738062
original_P0_raw,episode_000002_000038,episode_000002,38,grasp_close,280.2978979087926,50.97195930135694,275.62432936348114,0.18184923854813542
original_P0_raw,episode_000002_000039,episode_000002,39,lift,280.89704423962775,49.07255519829381,276.5773558859615,0.174699435984207
original_P0_raw,episode_000002_000040,episode_000002,40,lift,281.0534628832869,55.41243783099125,275.53676838548,0.1971597761597493
original_P0_raw,episode_000002_000041,episode_000002,41,lift,262.5033372561716,47.549987368121016,258.16080409682434,0.18114050611752017
original_P0_raw,episode_000002_000042,episode_000002,42,lift,250.22341788735557,36.2823109438802,247.5789828959675,0.1449996617031808
original_P0_raw,episode_000002_000043,episode_000002,43,lift,255.97436643071495,45.25043260330151,251.94299874935996,0.17677720325777047
original_P0_raw,episode_000002_000044,episode_000002,44,lift,260.3360673750929,45.11083004199638,256.39789583623934,0.17327921750081818
original_P0_raw,episode_000002_000045,episode_000002,45,lift,261.14777351844174,41.4634410540842,257.83510751950325,0.1587738639140882
original_P0_raw,episode_000002_000046,episode_000002,46,lift,264.541730674806,42.01429161752868,261.1840855953878,0.15881914551007345
original_P0_raw,episode_000003_000000,episode_000003,0,hold,268.80047775116583,71.60024892599301,259.0889831563489,0.266369500251688
original_P0_raw,episode_000003_000001,episode_000003,1,hold,278.9320501052853,76.16881878209581,268.33076532756667,0.2730730253240717
original_P0_raw,episode_000003_000002,episode_000003,2,alignment,285.34173004090513,79.38915478803197,274.0752907592705,0.2782248315963149
original_P0_raw,episode_000003_000003,episode_000003,3,alignment,292.66600628732033,81.77073707016763,281.0105652732141,0.27939950425909893
original_P0_raw,episode_000003_000004,episode_000003,4,alignment,318.3710389619088,90.34746664937043,305.28258011181407,0.2837804184198424
original_P0_raw,episode_000003_000005,episode_000003,5,alignment,321.191669715344,98.83236369532707,305.60800477233124,0.3077052520786645
original_P0_raw,episode_000003_000006,episode_000003,6,alignment,313.0748507048463,102.00571258010027,295.99104166323644,0.32581892908500315
original_P0_raw,episode_000003_000007,episode_000003,7,alignment,262.30250333164344,84.30749362980436,248.3844797323442,0.32141322541329226
original_P0_raw,episode_000003_000008,episode_000003,8,alignment,265.00673623434295,94.76283948517464,247.4844934582481,0.3575865309377523
original_P0_raw,episode_000003_000009,episode_000003,9,alignment,263.8964935707394,86.68872923764295,249.251727260001,0.3284951916741001
original_P0_raw,episode_000003_000010,episode_000003,10,alignment,273.41430608583016,89.73816876556795,258.26816265075814,0.32821314308768235
original_P0_raw,episode_000003_000011,episode_000003,11,alignment,291.39048657587284,95.35044041703028,275.34834152251995,0.32722564671720245
original_P0_raw,episode_000003_000012,episode_000003,12,alignment,291.03842423394286,89.41313224186993,276.96327583864684,0.3072210567289141
original_P0_raw,episode_000003_000013,episode_000003,13,alignment,285.2560214093225,81.88124987149703,273.2516398299511,0.2870447728568827
original_P0_raw,episode_000003_000014,episode_000003,14,alignment,286.62251628756064,79.6777102072318,275.3251338674792,0.27798831452338973
original_P0_raw,episode_000003_000015,episode_000003,15,alignment,308.6895364578433,95.32727059653435,293.60167131536105,0.3088127692645419
original_P0_raw,episode_000003_000016,episode_000003,16,alignment,303.3419669558256,91.65860350059764,289.1626693073458,0.302162620030566
original_P0_raw,episode_000003_000017,episode_000003,17,alignment,306.25321036348794,94.5060344224839,291.3067769820659,0.3085878979368606
original_P0_raw,episode_000003_000018,episode_000003,18,descent_to_grasp,301.65473430778843,92.81195861773591,287.0218093940635,0.3076761212805524
