planner_phase,subspace_method,rank_k,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
alignment,sensitive_basis,32,85,0.01368467309197765,0.012067135623466115,0.023243617142385296,0.0010610824990046667,0.0010099866274181583,0.0015576515045022405,0.001989479228030706,0.0020054649895395265,0.0028428623593426527,0.0018569186357233454,0.0012574214488267899,0.0033791318535804785,0.03310445909584869,0.03446633999771083,0.04961897148199734,0.6992027120995895,0.739680066310709,0.8682351050370247,85,0
alignment,sensitive_basis,64,85,0.012974466840537751,0.011381671065657675,0.02544144011384903,0.0006929553062704598,0.0006740033907036934,0.0010662754957534869,0.0017478658019981367,0.0017975007515377045,0.0025328813384451624,0.001378405129756121,0.0007767882198095322,0.0031642332673072833,0.03482381687717732,0.03591570753012657,0.05227648276687814,0.6999129183510294,0.7406187420698661,0.8679736267840811,85,0
alignment,sensitive_basis,128,85,0.009198509050301626,0.008038342928799212,0.015940782035817405,0.0005120303481767021,0.00047020792409644226,0.0008092931171213658,0.001051730495867946,0.0010082040666197067,0.0015843988785308068,0.0009417150580488583,0.0005261879414319992,0.0019945170730352405,0.036970099213970396,0.03834441562976701,0.05482192243917504,0.7036888761412656,0.7430038687845004,0.873984986854819,85,0
descent_to_grasp,delta_basis,1,40,0.3478142827102653,0.2550469290505857,0.6738514024046339,0.0035887032517988417,0.0032713492156581235,0.005854253661970704,0.0017002142347547753,0.0007097560600292282,0.00415011864672396,0.4427071090787649,0.43897730112075806,0.7462184011936188,0.017283775174742583,0.017002140972648166,0.03359529646537865,0.04005114055513091,0.031269186941965066,0.10221008533549233,25,15
descent_to_grasp,delta_basis,2,40,0.30637855498123506,0.23541203775869546,0.602213880868781,0.002546224945413814,0.0023493988256509815,0.0042149446397467365,0.0021718484471258768,0.001056584636574567,0.005006728629178164,0.3556306494399905,0.3766051083803177,0.5883852601051333,0.07442870157017141,0.07124862144177352,0.09897750028345279,0.08148686828416113,0.07059469348949629,0.20238345118231557,28,12
descent_to_grasp,delta_basis,4,40,0.2661200912415528,0.19112104490394097,0.565512854718288,0.001770628710999892,0.0016956277774717028,0.003636731629815878,0.0021597532587827135,0.0011770632575127454,0.004939818453942899,0.25437928158789874,0.276051864027977,0.43065225481987,0.1571690337224811,0.12116711311593821,0.28013119111728696,0.12174533202384344,0.13374025907739312,0.19847936080916226,40,0
descent_to_grasp,delta_basis,8,40,0.229323887839079,0.19712873414517568,0.41561613945682224,0.001479332814226092,0.0013686310594378873,0.0024254947865927487,0.0017919801068709538,0.0010197920385813827,0.004893688471079085,0.2106945961713791,0.1925274059176445,0.38006030321121226,0.18792494660553377,0.1812373152533236,0.306072652662576,0.1585415354263172,0.14301013141427268,0.36582679206908464,40,0
descent_to_grasp,delta_basis,16,40,0.21620655750063947,0.16480101458729715,0.40940584487060383,0.0014257477459867867,0.0013763104006435931,0.0024095784943481613,0.0017696068449516756,0.0010134740448480878,0.00442115371770289,0.17582791494205594,0.17304837703704834,0.34560523033142093,0.22089674829113984,0.22247894918287298,0.32561168573806887,0.17165886576475675,0.1660391319445763,0.3509180081113429,40,0
descent_to_grasp,delta_basis,32,40,0.19287336284520276,0.15166759502310936,0.3619866367110608,0.0012888450071954903,0.00113125251949778,0.002300359012578579,0.0016895771801144644,0.0009570923576611092,0.003971674211494321,0.14994030818343163,0.12274599075317383,0.31040033996105193,0.2564376776649412,0.26520396657078527,0.37410100372304733,0.19499206042019343,0.17787310509970866,0.4120716171397919,40,0
descent_to_grasp,delta_basis,64,40,0.1801171789865943,0.1571681315305897,0.31280741747201135,0.001183738098774405,0.001081780937177491,0.002127030675216026,0.0015009399129018949,0.0008243513003599541,0.003179792992379214,0.1328069874085486,0.10691845417022705,0.272556808590889,0.28171592215290825,0.3051619859707837,0.3882128401181559,0.2077482442788019,0.19270986371394389,0.4372660841023059,40,0
