frame,episode_id,heldout_episode,planner_phase,progress,ridge,hidden_cosine_to_sensitive,hidden_pred_norm,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000017,episode_000001,episode_000001,alignment,17,0.001,0.9646616241455754,28.66880604209102,0.60452831850565,0.004677066980395514,0.004669921968770589,0.6044921875,0.5219080176246764,0.6845812422562849,0.00444853267917084,0.0012041938834935733,0.002110047480600137,0.0037265345454216003,0.2231665411907065,0.43007151777432795,0.2987414764339699,0.5724025428726142
episode_000001_000018,episode_000001,episode_000001,alignment,18,0.001,0.9519251043063665,30.92165383508813,0.6108790165689393,0.0039027276848458002,0.0057119951267461805,0.61083984375,0.42064169094350695,0.6108790165689393,0.052394303116205444,0.0006543642575012555,0.0009857696154783686,0.052380941808223724,0.12998439793157554,0.24434912096454678,0.29065729301193144,0.6909854616644914
episode_000001_000019,episode_000001,episode_000001,alignment,19,0.001,0.9553220146278941,30.941279500906695,0.6221162220752599,0.004129967294110575,0.006329569139829566,0.6220703125,0.4422233401029917,0.6221162220752599,0.043498287447530495,0.000905139045394523,0.0005514043321706574,0.0434853732585907,0.14931416915963341,0.2833425595125315,0.2929091709433583,0.6623557473812692
episode_000001_000020,episode_000001,episode_000001,descent_to_grasp,20,0.001,0.9609476614635952,32.23007926197827,0.612350428875257,0.0040174902288962425,0.006314838200567434,0.6123046875,0.43987934678956975,0.6162163025128652,0.04821160939121272,0.0008881470908056044,0.0006981398682787066,0.04819837212562561,0.13305141449550512,0.26689619426133526,0.30682793229406463,0.6975274800543102
episode_000001_000021,episode_000001,episode_000001,descent_to_grasp,21,0.001,0.9562680746196986,31.8863073662165,0.5854973666240866,0.004030408763459981,0.006335171185859476,0.58544921875,0.47668975996707175,0.6181700297066574,0.005786384574841566,0.0010014318509825398,0.0003472846342686476,0.00568847730755806,0.11995970981928308,0.24706820982685213,0.3567300501477887,0.7483484649899559
episode_000001_000022,episode_000001,episode_000001,descent_to_grasp,22,0.001,0.9273887521532438,28.322322354954707,0.5883983595474789,0.003757905513767575,0.002961476720744429,0.58837890625,0.5233863768126721,0.6943450565773494,0.010364271467383087,0.0008811766871975415,0.001225731935339866,0.010253742337226868,0.2409971800575883,0.39967928641690315,0.2823891967550838,0.5395425048599519
episode_000001_000023,episode_000001,episode_000001,descent_to_grasp,23,0.001,0.9787411595095982,28.444861894239,0.6777511090877039,0.003777292253073848,0.0029008406034901927,0.677734375,0.5197623589072495,0.7080159164025609,0.054319811414001516,0.0006575697941283638,0.0002503735539127672,0.05431525409221649,0.2609604220569778,0.43219604024994884,0.25880193685027175,0.4979235845288566
episode_000001_000024,episode_000001,episode_000001,descent_to_grasp,24,0.001,0.8988528313576254,21.80708175720266,0.5019596924296714,0.0025255442583840414,0.00046341452681027156,0.501953125,0.26158246283006775,0.5019596924296714,0.2922054803892232,0.0005391635657182404,0.0005935994216883842,0.2922043800354004,0.2160808665925041,0.42998589191004777,0.04550159623756364,0.17394742654106332
episode_000001_000025,episode_000001,episode_000001,descent_to_grasp,25,0.001,0.8783705435489314,22.08641254946243,0.3476594770175049,0.001387491959558797,0.0005645016250401323,0.34765625,0.17401650077696906,0.3476594770175049,0.1944278204028031,0.00034665747670968626,9.064403184183183e-05,0.194427490234375,0.1423321123212919,0.31366986460459984,0.03168438845567717,0.1820769197990365
episode_000001_000026,episode_000001,episode_000001,descent_to_grasp,26,0.001,0.9198484378361627,21.735706411522965,0.21484490102742287,0.0006376350534642863,0.0002966562981462184,0.21484375,0.09493613936344455,0.21484490102742287,0.03482553622174303,0.0011003864862378994,0.00030762653604093535,0.034806787967681885,0.05892216221436678,0.16013397352102515,0.036013977149077774,0.37934950157605696
