planner_phase,method,count,token_count_mean,token_count_p50,token_count_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
alignment,top5,85,5.0,5.0,5.0,154.38055009913344,153.6591890494981,184.27685311691425,0.18066714433080377,0.1752360594287544,0.2284512608418486,0.5654980688725458,0.5933737313568086,0.6910624545684619,0.833310215958354,0.9009115820221918,0.9431701499410798,0.0022365622395849605,0.002303813490204104,0.003047480754859855,0.00656946155138843,0.006594744616565993,0.009637676178069664,0.09387802606558099,0.08430635184049606,0.171323162317276,0.14738931631902133,0.1537282542704932,0.20292908785038533,0.202143663123949,0.20465020145234736,0.24330609478579215,85,0
descent_to_grasp,all35_full_delta,40,35.0,35.0,35.0,302.78016814476064,309.1810809461631,334.83443937729436,1.0,1.0,1.0,0.0009386782666150753,0.0009573865847278956,0.0014585620764846594,0.0019027301244989026,0.001723109477783735,0.003024588290288596,1.9894803232364102e-05,1.6880836230868657e-05,3.591020906738588e-05,4.94513958804952e-05,5.044480755618498e-05,7.596121947309669e-05,0.0008360895793884992,0.00043088383972644806,0.002059966325759888,0.3869267449987811,0.3523079244617497,0.7464381833486172,0.9959098366992748,0.9976349568158378,0.9991903569644784,40,0
descent_to_grasp,bottom10,40,10.0,10.0,10.0,120.90009243029385,125.20268833936959,143.01358494705872,0.08375519736717409,0.08597028441913758,0.10590892396150726,0.34023878868658847,0.2603946022189616,0.6489496979728382,0.560669680953464,0.5134720678428175,0.8858685278413398,0.004033970294745081,0.0034710322682078264,0.007930104476125173,0.0024020303059877493,0.0011578873710970839,0.005636380270530352,0.5245957329869271,0.49676403403282166,0.8589899420738221,0.04762663457880769,0.03200054598973012,0.12010094629674564,0.10969437858083837,0.05925815249641657,0.34973493831273805,40,0
descent_to_grasp,bottom5,40,5.0,5.0,5.0,85.51915182395973,88.21437163318757,100.14377525475072,0.041074780711744356,0.04134439007649543,0.05426233502980816,0.3708355311817002,0.2982062201629371,0.7164927708103568,0.5802672304496884,0.5417402649496534,0.8858685278413398,0.004033970233077881,0.003471032693221663,0.007930104615505362,0.002402030530647056,0.0011578848114475876,0.00563638066266862,0.5245957329869271,0.49676403403282166,0.8589899420738221,0.017029892083695986,0.010666831182989334,0.04210542701618189,0.043627982027908616,0.01975389003352063,0.14383617200590626,37,3
descent_to_grasp,no_correction,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387706816324828,0.35255064516501483,0.7475520072719721,0.5836632483423635,0.5769877331496274,0.8858685278453092,0.004033970294745081,0.0034710322682078264,0.007930104476125173,0.0024020303059877493,0.0011578873710970839,0.005636380270530352,0.5245957329869271,0.49676403403282166,0.8589899420738221,0.000158606940568198,0.0002621299174244557,0.0008105677608940238,0.0005002925782394454,0.0006461355244523112,0.0027553205468682767,25,15
descent_to_grasp,top1,40,1.0,1.0,1.0,82.92507655452157,83.5990008324352,102.52261674247627,0.04184685192091052,0.04634344264384399,0.06252743872535182,0.37165544443808785,0.3355285066239647,0.7158029874077203,0.573821355431728,0.5769877331483234,0.8858685278453092,0.0029917425105840272,0.002452474063659769,0.005777234364204035,0.0019073600995873207,0.0011942166222439316,0.004635930384001494,0.4443440081551671,0.4446116089820862,0.7352461218833923,0.01620997882730832,0.01018565979727648,0.034704901817203704,0.03628742060573796,0.03755947606610589,0.055999155546334375,40,0
descent_to_grasp,top10,40,10.0,10.0,10.0,229.13349950869306,231.6559466057813,246.3230050789514,0.356767976339313,0.33037824842295127,0.4791159956925595,0.24594065323277975,0.2342367804773141,0.47621859492903135,0.4752382701317826,0.46640975408413016,0.8424330654673501,0.0004565053760260414,0.00046266141529042386,0.0007615582740781357,0.0005274322796725254,0.00039921350211733397,0.0012228827984813336,0.05586986343842,0.03642243891954422,0.13366406559944155,0.14192477003261644,0.10037957334846323,0.27715610827154036,0.3668840073556419,0.38201085916926325,0.4403318638851739,40,0
descent_to_grasp,top15,40,15.0,15.0,15.0,249.9779638288811,251.61857866022567,269.70455201930207,0.4431660325416124,0.41980057907823765,0.5556611766593734,0.18828078086751282,0.1741939863416112,0.37198310247938504,0.3932238046228537,0.4051464664269355,0.7504420937910985,0.0004565053760260414,0.00046266141529042386,0.0007615582740781357,0.0005274322796725254,0.00039921350211733397,0.0012228827984813336,0.05586986343842,0.03642243891954422,0.13366406559944155,0.1995846423978834,0.14758840309947613,0.3752910361345696,0.5215907892206288,0.5443430999867657,0.609046894964521,40,0
descent_to_grasp,top2,40,2.0,2.0,2.0,108.07228996037664,109.92307367393309,135.0987921372341,0.07258443218240392,0.08065103235989182,0.11975866350970257,0.35301127254026354,0.3267825203045806,0.672537800392755,0.5615176787920426,0.5769877331483234,0.8858685278413398,0.0023513365712346987,0.0018288443830290727,0.004536599977412488,0.0017240347068589689,0.0010273085299642153,0.004070490424476638,0.3511220312677324,0.36164620518684387,0.5823898017406464,0.03485415072513262,0.020581067352245075,0.08539086254201628,0.07543509585418072,0.07704918270061688,0.12237227764900187,40,0
descent_to_grasp,top20,40,20.0,20.0,20.0,265.279461161918,268.847455796928,291.5733266072862,0.5229490094711846,0.5093466022496386,0.6095411188443486,0.11429385900504503,0.10221354032334337,0.2436392106115396,0.3499784341806973,0.2622395236510678,0.7504420937910985,1.9894709925157163e-05,1.6879898398723476e-05,3.591013135436503e-05,4.945170154723842e-05,5.044413031750995e-05,7.596141610659757e-05,0.0008360895793884992,0.00043088383972644806,0.002059966325759888,0.2735715642603512,0.20632464721796612,0.5062323352956025,0.7293020659862778,0.7804376368369865,0.8616084509570073,40,0
