feature,token_index,token_l2_mean,token_l2_std,token_cosine_mean,token_cosine_std,real_token_variance,sim_token_variance,variance_ratio_sim_over_real
vision_backbone.output,96,180.0745963261753,26.026598911438022,0.2725394011874859,0.072223358370695,24.773405449494437,30.18950663678044,1.2186256224776126
vision_backbone.output,97,172.95006220711957,26.49144111737855,0.2537050438223948,0.0734411096259167,25.90423931588693,29.297646605033762,1.1309981446575685
vision_backbone.output,98,178.2183499016634,23.42856469866872,0.25293182771981254,0.0737521229972055,27.549949349834502,31.482092435962553,1.1427277791402426
vision_backbone.output,99,177.80851477116042,21.805203952473786,0.260590949017133,0.06916689205078577,26.46899445180338,29.93294407029433,1.130868198442459
vision_backbone.output,100,180.71791968569082,24.07985365540839,0.24034850008855263,0.06444909781576547,27.708179723131487,34.479492364545514,1.2443795553903227
vision_backbone.output,101,183.68064741198515,27.317383452897907,0.2416389264637119,0.07263070798815816,28.37913356669885,35.722288006087446,1.2587518897337067
vision_backbone.output,102,192.75232752077534,38.25843109615508,0.2760637020996244,0.10744312450356047,27.27435305512985,35.79188571924039,1.3122909147246862
vision_backbone.output,103,203.78608136866336,39.62589487870649,0.3267461890636398,0.12206274989352672,26.832610404847195,33.35507237141892,1.2430796656814824
vision_backbone.output,104,208.76528235042286,42.36319354276272,0.35121114414302324,0.14125975285093603,27.055558255914757,32.6344660546242,1.2062019103778725
vision_backbone.output,105,209.54400011831643,39.857888467819976,0.36324157276439323,0.13687804289515693,26.41827224153647,31.4158437010361,1.189171018218297
vision_backbone.output,106,213.69983277210832,34.38916153452954,0.3779524534774376,0.12006932018524279,26.009878733871123,30.873417387785455,1.186988132612123
vision_backbone.output,107,207.83156275796355,32.30648626773717,0.36415801366897804,0.10490905302004243,25.102523579449446,30.328323598717535,1.2081782735002096
vision_backbone.output,108,213.00298599932393,26.229934613792384,0.38230379513914836,0.08449039180054774,25.06636044784523,29.845862544191682,1.1906739554907066
vision_backbone.output,109,202.83068236314458,24.905634412515,0.3595803832005819,0.07703314592461027,24.67775524733592,28.28108885283874,1.1460154527584845
vision_backbone.output,110,180.35713232118314,32.56419959172431,0.2777249076291734,0.11299192880917373,26.25901616778151,31.058540825179787,1.1827762558479646
vision_backbone.output,111,185.81919290564397,41.454393980484895,0.26668663656487135,0.10739811716939665,27.05280430639674,34.28859447064306,1.2674691348924367
vision_backbone.output,112,189.74187895241815,28.329384744577993,0.31327333672432106,0.0799483476081426,24.857214824758305,28.266791825587358,1.1371664937068107
vision_backbone.output,113,173.78641621331815,28.27201766445542,0.2648699705719541,0.08131562349059385,25.593475227196716,28.109073636548224,1.0982906145812634
vision_backbone.output,114,174.74841251744948,21.69354242608323,0.2460042209280398,0.06712218559044804,27.365149858431028,31.067080188864487,1.1352790081393587
vision_backbone.output,115,176.57494353108916,17.599204499184847,0.25771198042821336,0.055589429760479536,26.22983294469534,29.715233738570387,1.1328792600861732
vision_backbone.output,116,175.1662924876753,23.368125927183634,0.23917071485569832,0.06027291628261372,26.378090062645363,32.40301298095113,1.2284063366224458
vision_backbone.output,117,186.89353235473448,30.81851259228453,0.270731937699171,0.08800835466537006,26.479383837577767,33.22275885943548,1.254665103358182
vision_backbone.output,118,197.56664633533458,35.23720657912522,0.30672942108270584,0.09311821513360982,25.65464742866686,33.04576414161734,1.2881004984964848
vision_backbone.output,119,208.97407704943956,46.016363653420576,0.35246626764447286,0.14425943398770458,26.374820283072822,32.693709791536264,1.2395803816156754
vision_backbone.output,120,203.2075583624926,41.368149648886856,0.34615650930072617,0.1416045447171797,27.432402120497333,30.001464603490145,1.09365065704812
vision_backbone.output,121,197.57086008410033,33.02497287821246,0.3291932445132586,0.1158139546776716,27.94930657282528,28.681966874165955,1.0262138990615615
vision_backbone.output,122,205.59455925330755,35.66730838839844,0.3545462916942038,0.12390262402456283,27.770811178931243,29.29192968393029,1.054774003366278
vision_backbone.output,123,201.06917699990794,27.091601102329765,0.35169866806556077,0.09576373988714765,25.570981271384998,28.34375729055243,1.1084344785106188
vision_backbone.output,124,197.79713252126953,30.286014727654003,0.34932479027584856,0.10236866906041878,24.395708251923413,28.085418149051822,1.1512442212796796
vision_backbone.output,125,186.3495282963894,26.02311242293992,0.3189615183590772,0.09557807823657488,23.72928656211481,27.57811122933142,1.1621972349291563
vision_backbone.output,126,171.6929566675338,33.323771965507206,0.2567810587336158,0.11171011650018242,26.408567132862554,30.979934941215202,1.173101697845018
vision_backbone.output,127,176.1285799948032,37.63762386350487,0.24838304451918192,0.10085789704705098,26.37971013047398,33.00993101068884,1.2513378974758176
vision_backbone.output,128,171.2230097600129,30.747950167995885,0.26491139702085237,0.08844366420829425,24.6312206540944,27.757852933930423,1.1269377723396055
vision_backbone.output,129,171.14696489266237,23.51427916004,0.26626881493301274,0.07586404641071996,24.39483764131533,27.28062820283524,1.118295132927325
vision_backbone.output,130,170.19237243756086,24.64701928892107,0.24524345197154288,0.08205005892196743,26.74764046987932,29.46945960929643,1.1017592240512641
vision_backbone.output,131,169.07917168573516,21.867642539110356,0.2494599881656809,0.0769272210800943,25.10126948626237,28.462293467233103,1.1338985656805198
vision_backbone.output,132,167.50644608028028,21.40953347405899,0.24040130781333258,0.05880465362516757,24.602602824830885,29.17054789383015,1.185669179050801
vision_backbone.output,133,179.32135836943036,28.177271987427293,0.27454977837975847,0.08007070526535702,24.782449648813568,29.417331735747187,1.1870227581459247
vision_backbone.output,134,187.46232600712023,31.963032863623116,0.30968175703564865,0.09602899362924171,23.627934921558484,28.938286404745206,1.2247488619219735
vision_backbone.output,135,197.4164348399762,24.399368120815208,0.3461306205149918,0.0837994999392135,24.517057236561207,27.858764739170237,1.1363013297381257
vision_backbone.output,136,201.68868898287505,36.18048480698776,0.3319363057760725,0.1136754065530349,28.379091481595196,29.26432888336077,1.031193296034148
vision_backbone.output,137,214.81021148325908,41.31438466258902,0.3642993827978982,0.1294158433796679,28.601989710210837,31.272395626717223,1.0933643408574845
vision_backbone.output,138,209.38352900846078,51.993090266558426,0.3617640906205813,0.16157862083899183,27.276013446900908,30.639597311466254,1.1233165495798476
vision_backbone.output,139,203.0992249000148,27.882622357876425,0.365259208038292,0.09836485760172295,25.00385067790383,27.887618868519645,1.1153329632209104
vision_backbone.output,140,196.07232143438577,28.62384313964688,0.3519522742861539,0.10080581481203736,23.537245510671358,27.527982796304165,1.1695498856832454
vision_backbone.output,141,180.60702703688506,32.69532693067998,0.30281411605416375,0.11848995298639786,23.93782401310117,27.93392058143004,1.1669365004163206
vision_backbone.output,142,180.04801481874688,35.314980715826394,0.284285980180061,0.12944263965386957,26.74858133206423,30.436495635737554,1.1378732672918441
vision_backbone.output,143,174.74693902269445,36.85911387952105,0.2520874152949285,0.10788419659157525,26.727980959445688,31.52201755092374,1.179363963134815
vision_backbone.output,144,169.05449253154,30.798675780421465,0.25344763438170304,0.08893044665879804,25.212343927136676,28.297450215043245,1.122364913663818
vision_backbone.output,145,162.03092374898625,23.151857299039243,0.23555629369210793,0.07273444170374756,24.654086233430302,27.870139279668493,1.1304470591928613
vision_backbone.output,146,166.2431767203162,20.466991114224253,0.23019902812686244,0.06983825452403039,26.797292624869154,30.12325693924933,1.1241156844066227
vision_backbone.output,147,168.32833503386493,20.639054400122824,0.24229072458927783,0.07008829435388862,25.672392853929576,29.11290994669115,1.1340162217186913
vision_backbone.output,148,169.26567330241974,26.491518369920872,0.252801561327074,0.08781096939143819,24.60075432371864,28.53604906919065,1.1599664259757199
vision_backbone.output,149,171.28278380315285,24.08051098482503,0.2543133825224047,0.07714823710543851,24.650938276228036,28.96984439971449,1.1752025044682117
vision_backbone.output,150,177.15343225536603,20.074849346833233,0.27352228600222694,0.0709182544439859,24.19223132211839,29.008655999048745,1.1990897248294254
vision_backbone.output,151,190.7603906129034,20.539416391422122,0.3011574737839573,0.0708005665576868,26.277025650625486,29.674546094909637,1.129296233502869
vision_backbone.output,152,234.25284820989881,19.749253194978248,0.4189790669698411,0.06863779875269134,28.910399544952593,31.545750406181,1.091155809075925
vision_backbone.output,153,214.4323216547965,29.82401401431485,0.3713531151840516,0.10520075234996756,27.461410105110364,30.3545123404404,1.1053515542084873
vision_backbone.output,154,235.93360213169058,30.80276375976585,0.45666514485999693,0.10146068502415093,26.507646268680734,29.960258704126684,1.1302496796754555
vision_backbone.output,155,241.6405256954569,27.039004262884056,0.5156188941204394,0.12228916025105918,25.232509470958668,27.623733005249402,1.0947675670960477
vision_backbone.output,156,208.2144080344799,32.42437667612393,0.3868791770777798,0.1325770345616166,24.304789424236574,29.017297629622043,1.1938921635209143
vision_backbone.output,157,195.909562284841,42.97099561150386,0.3450593599550688,0.16633796107347645,25.66305998615871,29.581231582205753,1.152677490453605
vision_backbone.output,158,190.62203643871277,38.810740776560245,0.30612585653632146,0.14163158712491603,27.092699560474923,31.82060961160702,1.1745086361947321
vision_backbone.output,159,177.2181685485229,43.71529679547881,0.2609998399916719,0.12887709327182612,26.726480237448854,31.91274463486174,1.1940496597881955
vision_backbone.output,160,164.8221275798642,25.296391114370113,0.2405592680398407,0.07585556337167189,25.678222844740763,27.59916803528613,1.074808338651785
vision_backbone.output,161,174.74022826364444,31.8677805279101,0.28026539808649825,0.10890217592481977,24.646363749970202,27.156867068451145,1.1018610024565583
vision_backbone.output,162,178.8768032729182,28.06606509164361,0.27836922272064485,0.10481380138659568,26.616323379191513,28.562807122833114,1.073131202830341
vision_backbone.output,163,175.75217453061612,23.196288079561917,0.27566307989709526,0.0902135579059022,25.45980593686262,27.831706346720278,1.0931625486753394
vision_backbone.output,164,176.86779509484833,20.632335921650096,0.2836440463148938,0.07259261978996037,24.32237959750231,27.182168055409385,1.1175784814328262
vision_backbone.output,165,185.11314652946686,25.554704538231803,0.3101153252934236,0.09026078164494335,24.219001686004056,27.298311102509274,1.1271443578239941
vision_backbone.output,166,186.91308221597347,16.582361496691963,0.31277546016987595,0.06084305209691701,23.742348086943817,27.749178465491365,1.1687630205687596
vision_backbone.output,167,194.21052413151227,18.92004110992394,0.34669471504698673,0.07702385327226167,24.0559206909488,26.606157876805604,1.1060128697055585
vision_backbone.output,168,245.25231100326798,26.815831682337766,0.4753975832684566,0.11122417200162596,28.327687961952194,30.700061506133267,1.08374751753011
vision_backbone.output,169,227.05238248935456,29.40909076498032,0.44501817378263053,0.08704704779795913,25.45043149640906,28.01341651468133,1.1007049730623977
vision_backbone.output,170,246.53055093915034,17.79751433470179,0.5265934445974192,0.06283499441171497,25.995224233814664,27.212939100678632,1.0468437916099973
vision_backbone.output,171,243.3659992489139,21.158919291564143,0.5280589133963451,0.09576871851385857,24.776988855077736,27.11048504057823,1.094179974780199
vision_backbone.output,172,257.2265518771623,27.93172410069577,0.5816081583446808,0.11471905374640072,24.830478847590594,27.972792350929637,1.1265506606870754
vision_backbone.output,173,241.5164761218144,59.53656563343213,0.49653016006635897,0.22124684885248166,25.969243121018597,31.427337296399664,1.2101753274034959
vision_backbone.output,174,216.4999426163322,63.74365521070995,0.41558242649854354,0.2378274312483809,26.18295273185817,31.33738016122866,1.1968619613745408
vision_backbone.output,175,174.86817978772692,47.79104888876627,0.2671267127478675,0.154900572232253,27.407359391104336,31.131013449685774,1.1358632915139586
vision_backbone.output,176,169.3993062060488,35.6260475744593,0.26261605249968417,0.12348767654218802,24.8186143938005,28.151004630526703,1.134269793786659
vision_backbone.output,177,174.94782682421132,37.50017239128041,0.2900718515145008,0.13303303602721275,23.660326745007833,27.071903499228178,1.1441897565907522
vision_backbone.output,178,186.91807470526004,31.382597354479394,0.31339157070541307,0.11785681733465914,24.64504149852002,27.905153994082035,1.1322826945029811
vision_backbone.output,179,188.02822172935564,29.857192730302707,0.3265178525092378,0.10518434563951422,24.182136940875036,26.47035466494762,1.094624297665142
vision_backbone.output,180,192.1230764010628,34.082365993255316,0.3432587811219508,0.11518998229897039,24.1088062724294,26.377402532054585,1.094098240866431
