frame,episode_id,progress,planner_phase,direction,alpha,direction_norm,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,change_from_real_first_l2,change_from_real_first_translation_l2,change_from_real_first_rotation_l2,change_from_real_first_gripper_abs,change_from_real_chunk_mean_l2,change_from_real_chunk_max_l2,gap_reduction_chunk_mean_l2,gap_reduction_ratio_chunk_mean_l2,gap_to_sim_minus_raw_chunk_mean_l2
episode_000005_000019,episode_000005,19,descent_to_grasp,random,1.5,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8844285856586863,0.00968479042871058,0.004600618584782815,0.88436359167099,0.8119380857700953,0.8996601109421947,0.012184512596518156,0.00024186051715753765,8.455233366040097e-05,0.01218181848526001,0.010229193099617605,0.024109265333221913,0.010173229301158715,0.012374515609576522,-0.010173229301158715
episode_000005_000019,episode_000005,19,descent_to_grasp,orthogonal,-0.5,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8930401214100062,0.009823291694919117,0.004527491640835326,0.8929746150970459,0.8190505561794399,0.921979378463528,0.0035735893821927153,0.00010714194002060921,9.211038146000899e-05,0.0035707950592041016,0.003065010902858689,0.0036988794594541336,0.0030607588918141193,0.003723046789045638,-0.0030607588918141193
episode_000005_000019,episode_000005,19,descent_to_grasp,orthogonal,0.0,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8953532578516225,0.00993977992687234,0.004589052713970206,0.8952863216400146,0.8210274695020396,0.9226566382567368,0.0012614015585328763,2.1123593252157273e-05,7.33743413023078e-05,0.0012590885162353516,0.001454604546001283,0.0019998298274634587,0.00108384556921437,0.0013183683880089048,-0.00108384556921437
episode_000005_000019,episode_000005,19,descent_to_grasp,orthogonal,0.25,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8949001353905917,0.009938872009803208,0.004617637837453528,0.8948330283164978,0.8211967493378761,0.9221738591049821,0.0017151142699869482,3.2579703182046006e-05,9.112604973503606e-05,0.0017123818397521973,0.0018032812857157454,0.0022182776975276687,0.0009145657333778923,0.001112459732169755,-0.0009145657333778923
episode_000005_000019,episode_000005,19,descent_to_grasp,orthogonal,0.5,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8933549827736623,0.009897149207682145,0.0046459763487233146,0.8932880759239197,0.8208844975290456,0.9212292348414641,0.0032599133917135333,5.735641294330719e-05,0.00011627236239339134,0.0032573342323303223,0.002459382354392501,0.0032599133917135333,0.001226817542208436,0.0014922766780093586,-0.001226817542208436
episode_000005_000019,episode_000005,19,descent_to_grasp,orthogonal,0.75,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8909696693293778,0.009825662451852514,0.004661395518976124,0.8909032940864563,0.8202171976413128,0.9198962252869077,0.005645035266887137,0.00012573094838861848,0.00013092420705321662,0.005642116069793701,0.0033728781160572304,0.005645035266887137,0.0018941174299411667,0.0023039671090976286,-0.0018941174299411667
episode_000005_000019,episode_000005,19,descent_to_grasp,orthogonal,1.0,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8878216027096368,0.009726160485029276,0.004679979578608642,0.8877559900283813,0.8192634527449524,0.9182745755632411,0.008793612510601605,0.00022660740446971432,0.00014954560062388687,0.008789420127868652,0.0044995229027688256,0.008793612510601605,0.002847862326301631,0.003464083602905771,-0.002847862326301631
episode_000005_000019,episode_000005,19,descent_to_grasp,orthogonal,1.5,340.71038818359375,0.8966117932588055,0.009924943929328104,0.004531095511237859,0.89654541015625,0.822111315071254,0.9237431278239419,0.8802525180395013,0.00948729111663242,0.004714664500774173,0.8801887631416321,0.8168850288079816,0.9146369445482277,0.016364468382964115,0.0004701852550862546,0.0001866808027686925,0.01635664701461792,0.007076212858036869,0.016364468382964115,0.005226286263272373,0.00635715160156797,-0.005226286263272373
episode_000005_000020,episode_000005,20,descent_to_grasp,real_to_sim,-0.5,323.12835693359375,0.9072847425052298,0.009142225997524954,0.004689134357748604,0.9072265625,0.7711081897539115,0.910449941210491,0.969764827395405,0.012457958313400696,0.004978465099768247,0.9696720242500305,0.8007442078686002,0.969764827395405,0.06253417490676713,0.003316314220777905,0.00029899512485369453,0.06244546175003052,0.02970983341270598,0.06253417490676713,-0.029636018114688745,-0.03843302212124951,0.029636018114688745
episode_000005_000020,episode_000005,20,descent_to_grasp,real_to_sim,0.0,323.12835693359375,0.9072847425052298,0.009142225997524954,0.004689134357748604,0.9072265625,0.7711081897539115,0.910449941210491,0.9087295854044501,0.009132057030906492,0.004743213008394539,0.9086713194847107,0.7716678013971576,0.9112473371136627,0.0014468555121357417,1.1289690539790657e-05,7.70757485514131e-05,0.0014447569847106934,0.0010509286858368043,0.0014468555121357417,-0.0005596116432461384,-0.0007257239005913434,0.0005596116432461384
