direction,alpha,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,change_from_real_first_translation_l2_mean,change_from_real_first_translation_l2_p50,change_from_real_first_translation_l2_p90,change_from_real_first_rotation_l2_mean,change_from_real_first_rotation_l2_p50,change_from_real_first_rotation_l2_p90,change_from_real_first_gripper_abs_mean,change_from_real_first_gripper_abs_p50,change_from_real_first_gripper_abs_p90,gap_reduction_chunk_mean_l2_mean,gap_reduction_chunk_mean_l2_p50,gap_reduction_chunk_mean_l2_p90,gap_reduction_ratio_chunk_mean_l2_mean,gap_reduction_ratio_chunk_mean_l2_p50,gap_reduction_ratio_chunk_mean_l2_p90,improved_count,worsened_count
random,0.5,225,0.3688965725976468,0.33432584804972454,0.8430876823421822,0.4632322087359733,0.5542114907119706,0.9205998904501408,0.004146059786857904,0.004198393907913266,0.0067656347456645964,0.005939809107721885,0.001989426768148018,0.016754821819685052,0.3145210598574744,0.24149294197559357,0.8079339504241944,0.0040021564450311905,0.0022665489507397427,0.009217593017683538,0.0001062278542331103,9.296091650824265e-05,0.00020360082647376813,0.00015552707925439296,7.742922957791723e-05,0.0003825324296836506,0.005333793560663859,0.0019401907920837402,0.014728808403015136,0.0013654901528290227,0.000259594797451094,0.005514644783798838,-0.020347070419456,0.0012225977333681726,0.015720952794091733,129,96
random,0.75,225,0.36730793434607206,0.32923302158902573,0.8435985539799351,0.46205615756301716,0.5405627930508038,0.9183526801844997,0.004134947670470095,0.00417606899747143,0.0066349484115145255,0.0059590140921473335,0.0020470633886205077,0.016898211788699383,0.31296811004479724,0.23659013211727142,0.801447868347168,0.006148409714081884,0.003384943567013087,0.014431575529192182,0.00016577159942576943,0.00014494545393095476,0.0003077428445432577,0.00022648562980179823,0.00010621002868067474,0.0005669490036740289,0.008095106614960565,0.0031031370162963867,0.02395719289779663,0.002954128404403712,0.0006233659502238031,0.01003673712348556,-0.02720761950339838,0.003544211149016414,0.025391443885015436,133,92
random,1.0,225,0.36534934011789566,0.32361592474711576,0.8417529999122189,0.4606817885915848,0.5252071465283608,0.916455082546352,0.004120147715846878,0.004166455678458832,0.006488737103705843,0.005979299053316922,0.0018908398190057804,0.017016692599797895,0.3109129001696905,0.23373913764953613,0.7929404020309448,0.008559395231876437,0.004725168046284677,0.020087987767426093,0.00023208232238251605,0.00020235366723533714,0.0004357002889233451,0.0002980810136954745,0.0001327582032270716,0.0007515353319597676,0.011103081636958652,0.00437578558921814,0.034378993511199954,0.0049127226325801675,0.0012087194953288027,0.015423182691240777,-0.037307837911462985,0.005572879464048962,0.03791193485592828,139,86
random,1.5,225,0.3608026558349722,0.31099860765635895,0.8340834553476261,0.45775273324386034,0.4957582103763458,0.9124976437328967,0.0040865210368819255,0.004142642832834752,0.006275413603579758,0.006019788408567103,0.0015267519682923847,0.01727398462815943,0.3058200709025065,0.23392601311206818,0.7739744782447815,0.013983355138485178,0.006520674308888081,0.03339439464987472,0.0003773530862019926,0.00030851745504665586,0.0007154346982555639,0.00044010520060048234,0.00018138856927661746,0.0010975617238154327,0.017832201851738824,0.006592810153961182,0.05754925012588501,0.009459406915503643,0.002938141277165962,0.027849819976922728,-0.06716862262315414,0.01054416543655788,0.05814963611207657,136,89
real_to_sim,-0.5,225,0.4441971808408393,0.4197930844982053,0.9517186198155152,0.518007446939352,0.7036413634169462,0.9759986271110717,0.0058000069186484,0.005584312087669681,0.01000994970469043,0.007572102786100441,0.0021230994908083677,0.021901642513089823,0.457530958255132,0.4704209864139557,0.9537007451057434,0.07410871041070093,0.03717876788322176,0.20065748377357723,0.001673350543230001,0.0014479247756539347,0.0031479920211760883,0.00168000462505077,0.0003268899493868625,0.005293337231971609,0.14196855849689907,0.08701753616333008,0.373627758026123,-0.0739351180903635,-0.03713870804234942,-0.0010952094664038888,-0.3588501253087861,-0.2794567422284611,-0.05188702083048095,0,225
real_to_sim,0.0,225,0.37024494499272953,0.3391642845654582,0.8434039306107537,0.4641897840917818,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.0009638014132068986,0.0009371142143309212,0.001474988670073278,1.889631244304759e-05,1.6174313605449004e-05,3.430145941901591e-05,4.1757000345882875e-05,3.5773483206143844e-05,7.36407772429874e-05,0.0010317393806245593,0.0008775591850280762,0.0020681619644165035,1.7117757746305283e-05,-4.860719930703441e-05,0.0006335038301584993,-0.015243647211175295,-0.00020274217995045472,0.004397067949528275,101,124
real_to_sim,0.25,225,0.2882722453380579,0.2395636719303754,0.6873283961036708,0.39608921074786774,0.45419754683912594,0.8416623812954347,0.003174103048839614,0.0032135531658231665,0.005228620024190831,0.004504699982226996,0.0015469752534112873,0.012310580503633525,0.2015244938267602,0.14437232911586761,0.5409141898155211,0.08223965740893727,0.06286618415936569,0.20726720172074206,0.0009802124748197326,0.0008949628534547186,0.0017341588354179973,0.0014172568508696315,0.00023693790504528614,0.004285813064082789,0.1143658639325036,0.06424649804830551,0.27851160764694216,0.08198981741241788,0.06284295207441881,0.20724757542371175,0.20234160431112563,0.1940329772519909,0.33678820203505294,222,3
real_to_sim,0.5,225,0.17733330380047738,0.1300341881512784,0.4700667579088767,0.275415118260691,0.2591679747235185,0.6447009516769543,0.0021082296640938763,0.002148016351992433,0.0032467523024820397,0.0029355860048065874,0.0012436534264326708,0.00785260432843697,0.0981343003279633,0.05107809603214264,0.2832574009895324,0.1931812026777231,0.13746964405016998,0.47184257545568375,0.0020465962513681528,0.0018598835111798282,0.0036234612568222346,0.0029867443438876913,0.0005527309893038462,0.008750503202223049,0.21774431028299862,0.13090002164244652,0.5549395561218261,0.1929287589499984,0.13746764341945944,0.47179757847778697,0.4521895930145359,0.42878497666483556,0.6557858823835723,224,1
real_to_sim,0.75,225,0.07069003923886653,0.05082153616612417,0.20467710519420437,0.12499976748753272,0.09699846767745926,0.36798674100341877,0.0010195770727883375,0.0010147928686573256,0.001479620319607113,0.001398225917370093,0.0006803746793596965,0.003639641747897698,0.03621033108068837,0.014524867758154869,0.10612444281578062,0.2998816361904882,0.203047593674492,0.7175230604188774,0.003133824446526364,0.0029767283497657013,0.005485331563151515,0.0045245394145463635,0.0011270467944223077,0.012946705513429259,0.27966512922611503,0.1870412826538086,0.7540616149082779,0.2995720235116093,0.20297626868485152,0.7174000643412917,0.6904707382005709,0.6983759243208731,0.9074199907238056,225,0
real_to_sim,1.0,225,0.0006641185285923925,0.0005747875506766898,0.0012765169551870582,0.0012023369508198023,0.0011165875738734753,0.0020269800119275872,1.973149641477582e-05,1.6995795283854826e-05,3.729457496352129e-05,4.402765782113037e-05,4.1089053732925226e-05,7.463038314826188e-05,0.0005015579683499203,0.00018384959548711777,0.001603412628173828,0.37030170201388884,0.3386611616150364,0.8441430845032355,0.004154293124739588,0.004142525946100433,0.006960007198830392,0.005908335139470005,0.0018087465666768827,0.016627625343517787,0.3156910205601404,0.23987722396850586,0.8133690312504768,0.36959794422188347,0.3386182539885082,0.8429441759926235,0.8706515018825236,0.9976645627480555,0.99983140900541,225,0
