planner_phase,direction,alpha,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,change_from_real_first_translation_l2_mean,change_from_real_first_translation_l2_p50,change_from_real_first_translation_l2_p90,change_from_real_first_rotation_l2_mean,change_from_real_first_rotation_l2_p50,change_from_real_first_rotation_l2_p90,change_from_real_first_gripper_abs_mean,change_from_real_first_gripper_abs_p50,change_from_real_first_gripper_abs_p90,gap_reduction_chunk_mean_l2_mean,gap_reduction_chunk_mean_l2_p50,gap_reduction_chunk_mean_l2_p90,gap_reduction_ratio_chunk_mean_l2_mean,gap_reduction_ratio_chunk_mean_l2_p50,gap_reduction_ratio_chunk_mean_l2_p90,improved_count,worsened_count
alignment,random,0.5,85,0.71017813805434,0.7508986514517829,0.8890126728941602,0.8415666150147351,0.8982443767376909,0.944399959392429,0.004864824977271533,0.0047583253195687784,0.007624331582737882,0.012436532275817659,0.011534320156495746,0.018942436435227635,0.5295758173746221,0.5319512486457825,0.8369133234024049,0.006943257169607326,0.006520220587423882,0.011786382600720291,0.0001499423869728254,0.0001420947185145245,0.00026322693085930335,0.0002735936178533096,0.00024576591871308586,0.0005114435987989264,0.009833229990566478,0.008136212825775146,0.02284586429595949,0.0027092471372271655,0.0026208873908407926,0.007690053491762906,0.004275361398422951,0.003600699872800273,0.01265008049607174,68,17
alignment,random,0.75,85,0.7070299890936401,0.74720557081676,0.8887491999959336,0.8393435691042035,0.8972119612873698,0.9455554035501968,0.004841366868274906,0.004777982505608636,0.007586378163866511,0.012469558252076542,0.011645268929300496,0.018984788136542224,0.526531969799715,0.5256823897361755,0.8301883697509767,0.011011516724021,0.009825041778835603,0.018423559532051086,0.00023272715546344825,0.00020339559151451897,0.00041711305229199033,0.00041172300719328407,0.00036018583875683683,0.0008078724041721137,0.015183303636663101,0.011768877506256104,0.03465697765350344,0.0058573960979272114,0.005655856193912179,0.013459787770478834,0.009404523235121042,0.007670562138908677,0.025034278689096655,71,14
alignment,random,1.0,85,0.7031317047614366,0.7440006080675857,0.8869795412781654,0.8368778625143198,0.8949869396208304,0.946492428538038,0.004809180725097966,0.004726199322988675,0.0074614225806074975,0.012503003010538413,0.011634345482024147,0.01904098319797927,0.5224675146972432,0.5246264338493347,0.823448383808136,0.015560162993737905,0.013469900609662352,0.025125947693158287,0.0003232492215080135,0.0002758012927685833,0.0005785399809356164,0.0005479672132610306,0.0004869754707179561,0.0011001145333778754,0.020826408792944517,0.014631658792495728,0.04492193460464478,0.009755680430130545,0.009479862987445298,0.01983627060247303,0.015742025622457422,0.011822253125679038,0.038780988679277116,77,8
alignment,random,1.5,85,0.6940200860325872,0.7284437817363394,0.882044795492245,0.8316189277348724,0.8841363673685518,0.9449116086429038,0.004730869574683082,0.004673177616761869,0.007284160206202203,0.012564741377000296,0.011947654334815544,0.019252886681744283,0.5123185967697816,0.5199940204620361,0.8068782091140747,0.02570222550721256,0.02309695892814373,0.04073580603734025,0.0005189333174973777,0.0004781242626725122,0.0008925421182824967,0.000810960793573751,0.0007164295937962965,0.0016606662601621209,0.03304636548547184,0.02609074115753174,0.06864200830459595,0.018867299158980038,0.018226002395597907,0.03408347052849314,0.030416294655701722,0.022680896093115816,0.06663190444832698,80,5
alignment,real_to_sim,-0.5,85,0.8594271932606439,0.9207187095916867,0.966163305700119,0.929312101037974,0.9634111653243973,0.9851520033013872,0.00706187052192384,0.006780810804201467,0.011114480664880013,0.015816397602776505,0.015402950819531979,0.023584684173264876,0.8107620691551881,0.8617573380470276,0.9754223227500916,0.14657245747539802,0.13603523981736848,0.2434250348233422,0.0022349027632504333,0.0020693692195829275,0.0034868796470990168,0.0034388071483562664,0.003290559060112126,0.005678725082947857,0.27898070426548227,0.29624664783477783,0.4111818671226502,-0.14653980806907677,-0.135992775710587,-0.05118437109088962,-0.24262373135855944,-0.1944289860595723,-0.059405421438243906,0,85
alignment,real_to_sim,0.0,85,0.712854543672285,0.7546514862951811,0.8881977540109217,0.8437704018647383,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.0010892199830184986,0.001076589097622862,0.0015929412691797528,1.9043597234906163e-05,1.539005037474902e-05,3.516745103260635e-05,4.678022226509245e-05,4.4796936687536606e-05,7.169481775021464e-05,0.0010787299450706032,0.0008591115474700928,0.0023188829421997076,3.284151928221604e-05,1.3061890647647623e-05,0.0007065210489839882,9.932453249933862e-05,1.5430600118741606e-05,0.0010059785767092056,45,40
alignment,real_to_sim,0.25,85,0.5446720117843432,0.5437246644610969,0.7549927314510947,0.7192258138893662,0.765540548072405,0.8800598180886328,0.0035918140031912745,0.0035090299198519462,0.0055225992060270145,0.00937813185787644,0.009453361256516144,0.01400884206840686,0.30205291763824577,0.2807700037956238,0.5634103417396548,0.16823579862019616,0.16812768003805517,0.22364220172653515,0.0012876542948476331,0.001222704185228978,0.0019462837571283618,0.0030081203284156284,0.002878368739062326,0.004865561889505889,0.22972844725146013,0.23303481936454773,0.3358646869659424,0.16821537340722406,0.16811744450556565,0.22361392863997387,0.24640104520438422,0.2542960436146895,0.36053384480139505,85,0
alignment,real_to_sim,0.5,85,0.3169293850534278,0.3000619316211305,0.5203581057126647,0.4854754952616211,0.4657217259375553,0.7338167767189024,0.0022724272639481043,0.0022237421169731546,0.003311062030641181,0.006040065225730851,0.006326391206643217,0.008751371572786933,0.11251111289157587,0.08786112815141678,0.21613005697727206,0.39601354375396264,0.420761065961148,0.5212043757817302,0.00260689535894817,0.0025010864235688883,0.0040125593011741305,0.006346743119538807,0.005891216819834545,0.01011201082501054,0.41927025199813,0.42314110696315765,0.6651370614767076,0.39595800013813937,0.42074490815336074,0.5211366051229874,0.5639720723864327,0.5907115738522813,0.6976963000947968,85,0
alignment,real_to_sim,0.75,85,0.1089441011165441,0.08030860558341005,0.22459389379023345,0.194095756148231,0.1545376889811026,0.40535635663890773,0.0010419885164254345,0.001030608448185675,0.0014666977951913,0.002829614817730371,0.003015348069119829,0.003923267560434259,0.027703627023626776,0.01973811164498329,0.05217917412519459,0.6040269448379221,0.6510100214526391,0.7542762179092386,0.0038344565425359476,0.003752357549947238,0.006152373370657606,0.00955650542211089,0.008787924827153432,0.015020240522356737,0.5040777378660791,0.5024638585746288,0.7982747612521053,0.6039432840750232,0.6509064256290314,0.754136138201271,0.8471523705225783,0.8784036209714566,0.9284737218385043,85,0
alignment,real_to_sim,1.0,85,0.00028839861503535645,0.00018783824934653025,0.0007389814494013057,0.0006690370028135968,0.00041401874355843937,0.0015869031712089836,2.0398185183614547e-05,1.6535564733759617e-05,4.043730115105008e-05,3.875578665008001e-05,3.5530162507095685e-05,6.465408939808181e-05,0.0001282036167514675,7.13961198925972e-05,0.0002697838470339778,0.7128986066538211,0.7548945942940098,0.8878920622931472,0.004873373614150773,0.004726265351282488,0.007579983079623375,0.012383654858861254,0.011392069528206344,0.018998862703877503,0.5317752649377593,0.5399835342541337,0.8380146155133843,0.7125989865765319,0.7544875268513218,0.8876830233804034,0.9995009740427548,0.9997520406149737,0.999865193445512,85,0
alignment,real_to_sim,1.5,85,0.04626516936628434,0.02352347623689289,0.11850891828324463,0.0983234507594125,0.03890000855166712,0.3150583612516125,0.001536689676721033,0.0015069540097926541,0.0021825604155155795,0.004505420814938973,0.004789198533073753,0.0058782622709163,0.012273435023448923,0.007877764524891973,0.020486672641709475,0.7580984090238465,0.779046919348842,0.9364582591051663,0.006394301871831963,0.006295708328411052,0.00961674486862404,0.01688344143584474,0.016396917955508367,0.024935560573020356,0.5440547999131548,0.5529724634252489,0.8470348275150172,0.6666222158252829,0.7177756588969442,0.8534009613161675,0.9211372799947866,0.9681209509269018,0.9830556393334495,85,0
descent_to_grasp,orthogonal,-0.5,40,0.38623298627800245,0.3501449021094061,0.7473958469094514,0.5804877024954976,0.5715515684901609,0.8833373532370096,0.004007215698672742,0.00344742503796567,0.007934462078413154,0.002391296582687111,0.0011337333012261565,0.0054788314854405515,0.5232031293213367,0.49572110176086426,0.8555852949619294,0.003394612974943937,0.0019085803846002171,0.006942910120067091,0.00010130205204222222,7.9578501716589e-05,0.00018842825513950206,0.00010442762901762744,9.099790311767469e-05,0.00018349476687824092,0.004283596575260162,0.002671957015991211,0.010220034420490265,0.0016324369873937448,0.001260176793851403,0.003216060961907654,0.005158721905087443,0.003002201507887702,0.010547682305965094,30,10
descent_to_grasp,orthogonal,0.0,40,0.3877068162627638,0.3525506451646238,0.7475520072647,0.5836632483422417,0.5769877331483234,0.8858685278453092,0.004033970294745081,0.0034710322682078264,0.007930104476125173,0.0024020303059877493,0.0011578873710970839,0.005636380270530352,0.5245957329869271,0.49676403403282166,0.8589899420738221,0.0009596656438641812,0.0009784970247726224,0.001255198379111822,1.9288670105445338e-05,1.7040491499160954e-05,3.4783645779334835e-05,4.8908476570629944e-05,4.187189227629491e-05,9.010498348837721e-05,0.001110268384218216,0.0010737478733062744,0.0020991086959838865,0.00015860700263236257,0.0002621300357110862,0.000810567767525,0.0005002929212672171,0.0006461363452137406,0.0027553165899025763,25,15
descent_to_grasp,orthogonal,0.25,40,0.3872984676551475,0.34978121188393857,0.7466559780257419,0.5834680371065202,0.5744921960846912,0.8863740936669003,0.004016285181420221,0.003435161602562724,0.007866337238107469,0.0023992056621420605,0.0011539330533506713,0.0057069396002294315,0.5238794401288033,0.4967324435710907,0.8582879066467285,0.001979601972277023,0.001362064740852356,0.004404287025612651,5.630657340578097e-05,4.466622660197976e-05,9.509098392140983e-05,6.408826721848382e-05,6.218934925860025e-05,0.00010289949413709798,0.0025138653814792632,0.001780480146408081,0.005334079265594483,0.0005669556102486934,0.0004333308496849153,0.0026147387217749047,0.0020203177014851354,0.0009119077258875068,0.007696795345050312,28,12
