planner_phase,method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_std,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_std,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_l2_mean,gap_to_sim_first_l2_std,gap_to_sim_first_l2_p50,gap_to_sim_first_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_std,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_std,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_std,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,shift_norm_mean,shift_norm_std,shift_norm_p50,shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_std,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_std,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_std,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
grasp_close,progress_phase,50,0.0023704929521261124,0.0010535293021440527,0.0022350913813179224,0.003852871039559767,0.004609421051601828,0.003417065379259349,0.00334300814631209,0.008087381971665959,0.004259190219786417,0.003632845009135881,0.0030701484280502415,0.008087381971665959,0.0011550652828972584,0.0005442889084083109,0.0012616428548211755,0.0017581157631879083,0.0002712437365024059,0.00014827854604579707,0.000280437020840074,0.0004354909695968672,0.003891552686691284,0.003803695040359245,0.0026481151580810547,0.008072304725646977,226.58217987624383,16.02953470317236,218.49334864085048,250.49922231162725,0.18480712232245897,0.08514934918995605,0.2010053653153212,0.28744312394160976,0.0020907087150971314,0.0032628177577338985,0.0017491996915721944,0.004218945380272034,0.3321086328380681,0.4137596668619696,0.46655774402494865,0.6768026240319786,42,8
grasp_close,random_matched_norm,50,0.0046799466220165415,0.00361481268233429,0.003677486310127681,0.007609180936631348,0.012341688668078523,0.016214127639645134,0.006781779243004681,0.024631152622277462,0.011774396462807826,0.016456489169208048,0.006329552503730438,0.024631152622277462,0.003811013049590984,0.0009010671691260705,0.0036003115137371623,0.005045308661575923,0.0004470167076732378,0.0002644907142238077,0.0004577228011030791,0.0009065863382723606,0.010423877239227296,0.016887560787718373,0.0044078528881073,0.02411189675331116,197.91057271928298,13.141675143914576,200.473948312056,209.94717047788208,-0.2249376967353622,0.04551725659322779,-0.2208554062774434,-0.17611284801094101,-0.0002187449547932979,0.00023998894304700822,-0.00023504130186758005,1.1305899562068162e-05,-0.059297533415011164,0.05586322809770396,-0.054554599121350605,0.0034043682933874585,6,44
grasp_close,shuffled_progress,50,0.014217267642625686,0.01109812176897001,0.010337525635841182,0.023580155524145698,0.03818556959929411,0.050064730697981896,0.019862277145117763,0.08373284802003292,0.0380938275768467,0.05011457397874269,0.019862277145117763,0.08373284802003292,0.0035594865230841087,0.0009899436840016028,0.0035737314175537443,0.004689419438701934,0.00033230217341765847,0.00020329524633842363,0.00028283373547001456,0.0006243811611886832,0.037809933423995974,0.050191806826425746,0.01952981948852539,0.08353615403175356,131.4991688383285,5.281648087096325,132.5838473916108,138.0966811737935,0.0988202618489347,0.04939996903298302,0.10963949223552362,0.15873887613002916,-0.009756065975402444,0.00782223343735086,-0.007328774304709714,-0.005158187412723616,-2.398798118165743,1.029999369170894,-2.070032763966318,-1.317615711829828,0,50
grasp_close,wrong_direction,50,0.005558276254260783,0.0021641364587187866,0.004958365587670412,0.00789627940939374,0.012461365895954916,0.007950269478246267,0.009902160588970876,0.021036547990930514,0.011152320212222476,0.008572336834963029,0.008322251979117632,0.021036547990930514,0.005431355200222861,0.0008007311956910818,0.00527096007821983,0.006477220476965203,0.0007034843057763673,0.00022237718453434213,0.0006873845696639602,0.0010719926814576472,0.008993148803710938,0.00928963659046502,0.005744636058807373,0.020311051607131963,197.91057271928298,13.141675143914576,200.473948312056,209.94717047788205,-0.5352281015200276,0.06288005580077972,-0.5407982602177684,-0.45576182178099506,-0.0010970745870375375,0.0016489729321255886,-0.001494382454746416,-0.00012213365615592302,-0.41849906693868605,0.25880611439210266,-0.4639802650296609,-0.012798463562135091,5,45
hold,global_mean,10,0.0787895953958174,0.062364087849162364,0.0621115217804887,0.1821095053915836,0.20004645503640894,0.15895123366082334,0.1499933325020724,0.45758061863238175,0.051976761356483325,0.03490403564725275,0.04652985779538815,0.09611091855450138,0.0024806418283754164,0.0009904221144938757,0.0024419162406792106,0.003894526742991386,0.007974917994526114,0.0027986199742364554,0.00862453817341223,0.011277904811751789,0.05104789938777685,0.035148560184504636,0.045518726110458374,0.09571420401334763,127.47371672121031,2.6869232781029093,128.49256147802745,129.8240054050872,0.08490282144548411,0.026887078626428133,0.07053244934829307,0.11901220907448691,0.6065209880849041,0.10800816549377609,0.6605047507603127,0.7049084811998154,0.8936967833025744,0.07627666032430451,0.9140462639547288,0.9679496891509579,10,0
hold,no_correction,10,0.685057255100775,0.13523173226715618,0.7346839458528246,0.7756136840909555,0.8520803150735107,0.07789629680238588,0.8822343362181782,0.915480554095875,0.416831929268991,0.1329582334020371,0.45402128472031833,0.5340257999352396,0.004472988870719449,0.0007825651304310617,0.0047986278042403425,0.005149203856638958,0.014948256442240257,0.0025129780544309722,0.01576912579984375,0.017497279145548307,0.41652110368013384,0.1329907282843317,0.45370273292064667,0.5338239252567292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002533283799466213,0.0005663165289133098,0.00033721862103286426,0.0008716153126187953,0.000423588110855218,0.000901277695420396,0.0004446417699349805,0.001328286672124384,6,4
hold,phase,10,0.02954549014766781,0.0162027667021102,0.022934020927167363,0.056636006365858554,0.0507209965380798,0.025295124339540138,0.036944797143679015,0.08808827132840127,0.00923066447070691,0.005117366782201604,0.008180530888842501,0.015952437265349943,0.0008427026894778538,0.00033815042495962734,0.0009635554403254,0.001286354460210336,0.0025689971476463964,0.0019251963875467706,0.00207032014723373,0.005715343577844888,0.008575325703714044,0.005169698001003591,0.007336994633078575,0.015923997946083544,212.2742344881744,7.859337690105338,217.88452652958998,219.28651942795946,0.21301968361855508,0.06923088324771969,0.20851999140723576,0.3129478663305317,0.6557650933330538,0.13060995350011464,0.7122519250446193,0.7404867854666187,0.956342779574717,0.020789721325622824,0.9510029230870463,0.981856013259865,10,0
hold,progress,10,0.02575415962219958,0.008883426398427886,0.023536856505178602,0.03749999018454941,0.04516112438035,0.016400584437175066,0.03826696482686336,0.06658981150120845,0.007751143086763739,0.004765581142427515,0.005326818209445728,0.01377886444460579,0.0008024515161019323,0.000383082462402126,0.0007999480484141283,0.001407376000545785,0.0024798090804841917,0.002121493515387934,0.0015400771024167972,0.006370801646210522,0.0070946205989457665,0.004584372684826265,0.00428754067979753,0.013454360514879226,210.76325303994477,8.265418396910768,215.41415033656392,219.1420437840347,0.2205148026069618,0.068049365500551,0.22347522598039127,0.3167683468470751,0.659556423858522,0.13302281750250428,0.7172114486296872,0.7432614387015944,0.9610543883115547,0.013842856499942291,0.957484817615674,0.978870819753779,10,0
hold,progress_phase,10,0.02954549014766781,0.0162027667021102,0.022934020927167363,0.056636006365858554,0.0507209965380798,0.025295124339540138,0.036944797143679015,0.08808827132840127,0.00923066447070691,0.005117366782201604,0.008180530888842501,0.015952437265349943,0.0008427026894778538,0.00033815042495962734,0.0009635554403254,0.001286354460210336,0.0025689971476463964,0.0019251963875467706,0.00207032014723373,0.005715343577844888,0.008575325703714044,0.005169698001003591,0.007336994633078575,0.015923997946083544,212.2742344881744,7.859337690105338,217.88452652958998,219.28651942795946,0.21301968361855508,0.06923088324771969,0.20851999140723576,0.3129478663305317,0.6557650933330538,0.13060995350011464,0.7122519250446193,0.7404867854666187,0.956342779574717,0.020789721325622824,0.9510029230870463,0.981856013259865,10,0
hold,random_matched_norm,10,0.6767335933543543,0.13488554034542177,0.7303024956723894,0.7747475006647071,0.8441534927237582,0.07890871547545524,0.8833565369750428,0.908879012954632,0.4058026083211013,0.12202789190400354,0.455029112042715,0.5084420148641042,0.004348328660310547,0.0007675996328637857,0.00466596155151611,0.0050244376446623926,0.014946055493061461,0.002882864261140599,0.015473714682840329,0.01811022131354974,0.405489781498909,0.12203855034466388,0.4546841084957123,0.5082506775856018,210.76325303994477,8.26541839691077,215.41415033656392,219.14204378403466,-0.29471722172535514,0.08744830132627855,-0.30399958454343734,-0.16663150259165938,0.008576990126367196,0.008667122364504478,0.007348058200811802,0.014218708240191873,0.012870043879194062,0.011890361444491243,0.012243078832525591,0.01964728496386697,9,1
hold,shuffled_progress,10,0.0978837646084739,0.07779968391009577,0.08726329251593362,0.2042844190027644,0.22968998983211236,0.19215395838033825,0.1927679518896469,0.48187139812657964,0.06561353096089782,0.04766445537962251,0.07186912392570734,0.12146945335086178,0.002573759367932081,0.0011156781950643706,0.002622874208210644,0.004014678666954643,0.00817041912421565,0.0028277707548789023,0.008332770792391307,0.011770720305748186,0.06472324635833501,0.04801370764067839,0.07115120254456997,0.12085563838481903,132.68052482241157,3.728343872342947,132.05128364795857,137.5634533856874,0.07916543133894118,0.05646929539061842,0.05201449558709001,0.1401331814670513,0.5874268188722477,0.10511654064409535,0.613811117229413,0.7103770520010861,0.8683882286694697,0.09632211630948329,0.879225277243553,0.9754875632092878,10,0
