heldout_episode,method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_std,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_std,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_l2_mean,gap_to_sim_first_l2_std,gap_to_sim_first_l2_p50,gap_to_sim_first_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_std,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_std,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_std,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,shift_norm_mean,shift_norm_std,shift_norm_p50,shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_std,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_std,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_std,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
episode_000002,phase,47,0.05296019670150407,0.07961634555805316,0.013756016615504069,0.1481419310855233,0.11250841737261386,0.1705818466802469,0.021329688819768516,0.37293112235455905,0.03324009051018952,0.08415899939010106,0.004448773803035383,0.07306547850013845,0.0015280519271225039,0.0010270289726665846,0.001108811565635774,0.002947122451167575,0.002453052981565122,0.0026270516934453485,0.0009535783584271356,0.005919564441988699,0.032264700429414976,0.08444122986394534,0.004273593425750732,0.07274466885719444,181.64335665578608,20.449488465030317,169.3406004839739,214.2086335599193,0.16812275395817147,0.08776920583195343,0.19643074378189673,0.23807184036185275,0.29104360484653363,0.3402765249793362,0.07664664077119954,0.7595747594653891,0.5245338482498088,0.3954149019521936,0.4677822808568402,0.9809445818477576,45,2
episode_000002,progress,47,0.053679815560737656,0.08795828284076473,0.014072460220571764,0.15835590657265744,0.12308503983451236,0.19248798389983474,0.02257192214196552,0.4091011203608237,0.054655542465542134,0.1544551968565322,0.0034660798678312404,0.06716824264128596,0.0018283822780769286,0.0015457263598926201,0.0011461112821748972,0.0038160183780402254,0.0017091007781891013,0.0019351027048652913,0.0009379862173058941,0.004546364070573922,0.05386503025929027,0.15469258797264882,0.0029111551120877266,0.06698308736085888,182.82933331707926,14.15611980985987,182.48186239952875,202.34421512299917,0.1861890624356622,0.07795511367899806,0.21023681827435625,0.24472163066358443,0.2903239859873001,0.34803193596114823,0.025182400758292423,0.7728247421153698,0.542851534600016,0.3824100103209694,0.4364646985676266,0.9823040477919588,46,1
episode_000002,progress_phase,47,0.04782414175187199,0.07143751976061558,0.013200599833487769,0.16243667109897486,0.1164736961728896,0.18379649648716828,0.021290548423046042,0.4188729896533193,0.044930181399316,0.11908895979781749,0.004470568333082457,0.07286634240796964,0.0017425710592078249,0.001439971232568078,0.001271167563432892,0.0038960123866275125,0.00188186599553104,0.0020769896140590146,0.0012252034637894173,0.0051311556524810086,0.044146597800290885,0.11932734000400716,0.0035492777824401855,0.07255049813538786,208.58275608932746,24.66406150971874,202.1141479734606,240.39712725706755,0.1653785681642574,0.10982866086994851,0.1953426369344616,0.2656736801481325,0.2961796597961658,0.3430893293460804,0.09505732504807589,0.7730180415716525,0.5884840418634691,0.3601704540827305,0.5891923026078714,0.9843967261925466,45,2
episode_000002,random_matched_norm,47,0.3416077969498609,0.3364077916132997,0.20746764183787786,0.7912331683108451,0.43964565176213294,0.39464854144811273,0.39494488049954457,0.9177635197871612,0.25436155281150713,0.24874137237904334,0.22129188051507123,0.5799054689659028,0.0034122090091468836,0.001426904326615403,0.0031845304892626266,0.005324162719543506,0.004704971429605382,0.005593267957151508,0.0016158143410028739,0.014287408929467945,0.2536193037286718,0.24936362611455876,0.22111965715885162,0.5798070073127746,182.82933331707926,14.156119809859868,182.48186239952878,202.34421512299917,-0.2021938890003537,0.039911056765337405,-0.19649263024205543,-0.15816172101908205,0.0023960045981768,0.005405664924662476,1.0271634807438451e-05,0.010521844672721563,-0.016765822467792055,0.05182363439276497,0.0006381230463035311,0.030933416551463193,24,23
episode_000002,shuffled_progress,47,0.09556434061220474,0.09791290552491907,0.057533123210958804,0.21484944600574649,0.2088182206484566,0.19766385537366749,0.13284273523406062,0.4571515382276668,0.08305103747606843,0.14066380449618046,0.03725993583346445,0.18641152072163253,0.0026852434640067696,0.001456565575685095,0.002764746573031642,0.004260459301718905,0.002698484819317422,0.003171886346396208,0.0013325426491194582,0.008231338522881472,0.08276744872490142,0.14073611957742055,0.03680109977722168,0.1863642960786817,132.69734135551258,3.6303551926053923,132.91849556387393,136.6946220943414,0.05821155073482876,0.045376699489478166,0.0607227865776169,0.11305220866726927,0.24843946093583302,0.2960097113156011,0.03702561273430233,0.6542114393191324,-0.7834062213706385,1.934887524916334,0.1883817111631945,0.9008072521813459,28,19
episode_000002,wrong_direction,47,0.5061518333867128,0.4417269591893675,0.6510378412980566,0.9775464434040199,0.5572873282901519,0.44967008083382454,0.8798635433123354,0.9844228857490493,0.5416301902358118,0.43974865038694183,0.7981028988152696,0.9687022300688287,0.006192631671376291,0.002304118444638032,0.006012173175737076,0.009109227226322757,0.006940828579648344,0.007811573326714929,0.0022216240551980342,0.021338268838802847,0.5405368424476461,0.44091859455086724,0.7980793118476868,0.9685402274131775,182.82933331707926,14.15611980985987,182.48186239952875,202.34421512299917,-0.49003823448865474,0.07661053486338151,-0.45734270983199227,-0.41223029280740364,-0.16214803183867502,0.1947553060874209,-0.11480936835914779,-0.0014752138590574668,-0.7091866561867293,0.9220553655071987,-0.396926424447321,-0.11971032036280416,0,47
episode_000003,global_mean,44,0.22082623108674965,0.20493022835317892,0.1963814597699136,0.4811225275815741,0.36458005216260153,0.305285981946146,0.4627486025913397,0.7661029938008604,0.18470916597391185,0.17753622043832834,0.12549934954220504,0.46196447881951874,0.004008468754442798,0.0021409207348893565,0.003909882952444927,0.0073133544457271065,0.003377163148486333,0.004461948743813825,0.0006266816716916834,0.010843613000942524,0.18446269326589324,0.17764609417188287,0.12514010816812515,0.4619041860103608,122.21090963033662,0.0,122.21090963033662,122.21090963033662,0.11437193892382563,0.040293334137617445,0.11619438214385147,0.15594403782082925,0.20409364815603873,0.21910917666548826,0.1853383148963118,0.5187814042772299,-0.645324386292589,1.5338090466373755,0.3156411970274929,0.6285971617281428,26,18
episode_000003,no_correction,44,0.42490468758155286,0.38929070415964323,0.5826249436773976,0.8722576116037616,0.4970192998652245,0.4307445900028835,0.8026112159342418,0.9343956575106994,0.41454917652554973,0.36367340493700545,0.5340869744857111,0.8553852933805816,0.004778503747629475,0.0023935705828494374,0.004720876480362629,0.008190629984467799,0.006256370672588191,0.007041072575764406,0.0024822287386138567,0.017489380112326668,0.4139657101847909,0.36417643231334595,0.5338754951953888,0.8553328454494477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5191661235445612e-05,0.00041637316331445017,-0.00011524807020079036,0.0005494929236428692,-0.020725680081364193,0.05459166883199921,-0.0002736907541691327,0.0016490929063494508,20,24
episode_000003,phase,44,0.0876221210234816,0.09277063922822555,0.05294145557283141,0.23493874782847732,0.1776560241997144,0.17619040524018317,0.11820787491318932,0.42961348308696334,0.03490941739332387,0.0414482267662385,0.017616502636577235,0.09233325922886852,0.002039748879032471,0.0011869966621825935,0.0018618212782398435,0.003858033659996031,0.0020117733420513643,0.0025425805284140187,0.0006745152725653388,0.006007752459810331,0.03435864295302467,0.04171360803076852,0.017498139292001724,0.09200487285852438,176.17117778331425,21.419756250880177,159.37087297210553,208.85536464475143,0.23138324769873958,0.06482958727200992,0.24459082015104638,0.3002222126151293,0.3372977582193068,0.3221237177994612,0.43762086399555605,0.7346881914192834,0.5970318316047993,0.30904441367577346,0.6523086931311716,0.8891082337073805,41,3
episode_000003,progress,44,0.09433987301434656,0.10133877580025732,0.05272375338815349,0.25817264790965117,0.17422659040105967,0.17404754586548712,0.14282813450117002,0.45052474160912187,0.05280290431517042,0.07975494584208549,0.015639713965803916,0.13765644306869346,0.0021998269840529465,0.0013601378962068815,0.0019500643583582208,0.004210689993206476,0.001605500488425049,0.0017952394782068564,0.0006969465678019758,0.003876117920379146,0.052320075179026884,0.07999448789256106,0.015312531031668186,0.13762603402137763,177.36470996852353,14.220455844665759,173.32540193115074,199.42147125862346,0.2545515624192775,0.06457032698290706,0.2685768771248068,0.3276522088775596,0.3305800062284418,0.33171280549555,0.3247628245347649,0.7449441657922169,0.4556937091248074,0.46067788803553816,0.575130066590103,0.9142407480273106,37,7
episode_000003,progress_phase,44,0.09064511454092504,0.12405822412271947,0.04171079844513555,0.2693459000709959,0.16134188472929106,0.18700945608586292,0.09046948215463214,0.46811501146226137,0.04947952233195105,0.0808478475077548,0.013327545674795863,0.190260416771774,0.0018907652785950348,0.0011775018289497234,0.0017207662755531225,0.0031018923350427195,0.0016692597788381545,0.0019468865872717307,0.000695940750167303,0.004854934979046727,0.04894190395928242,0.08110332492682854,0.013072614558041096,0.19024983644485483,197.92500221363625,24.27756760593454,194.0736139758346,232.55189648267904,0.2564472238709228,0.07161686691207747,0.2706847880655585,0.3312355576423375,0.3342747647018634,0.33765743651450825,0.2372537868054219,0.7471909424203071,0.5855072348870896,0.34173710312747785,0.6554989679781543,0.944595079528318,41,3
episode_000003,random_matched_norm,44,0.42296826226394485,0.3872857056929499,0.5813659990730274,0.8656797115184561,0.49652067217275886,0.4302301482499711,0.8027646500043433,0.9304371961262928,0.41131922980252045,0.36134735882363117,0.5109294014788299,0.8558820671828539,0.0047481372951332585,0.002364354971728006,0.004778976617600877,0.008038893992022442,0.006269581350697793,0.007088210263036224,0.002421051496989164,0.017591855921835497,0.41075827045874164,0.36182230504301977,0.5107210278511047,0.8557152092456818,177.36470996852353,14.220455844665752,173.32540193115074,199.42147125862343,-0.17571555431525698,0.0356843451414254,-0.1795534526336392,-0.13451033133725343,0.001951616978843534,0.0031503881397494894,0.0005260585347295135,0.00678796569534701,-0.030958256272270487,0.06827216126337511,0.0015298930215447992,0.009519321143232895,25,19
