condition,planner_phase,count,action_chunk_mean_l2_mean,action_chunk_mean_l2_median,translation_l2_mean,translation_l2_median,rotation_l2_mean,rotation_l2_median,gripper_gap_mean,gripper_gap_median,hidden_l2_mean,hidden_l2_median,vision_pooled_l2_mean,vision_pooled_l2_median,projector_pooled_l2_mean,projector_pooled_l2_median
P4_letterbox_224,descent_to_grasp,40,0.3012596852020216,0.337432981088013,0.002471687793011642,0.002394077640105888,0.0033131332774691,0.0025179530294271004,0.3382575988769531,0.3436279296875,215.9770251534109,213.10244146398284,71.97293196009896,72.48853324245309,7.897272525040014,8.131987552369669
P4_letterbox_224,grasp_close,50,0.06013189224780056,0.0663780726000199,0.00106068954306502,0.0009976808909745035,0.0003029667287382231,0.00030275309296817255,0.106640625,0.125,203.71589224915107,205.81073264875164,76.75096987344376,77.73699868410088,8.107996254839886,8.092008278975806
P4_letterbox_224,hold,10,0.03578690798431202,0.022681124841828753,0.0013403432952013357,0.001213257945864305,0.0046125600494493005,0.005102768738224043,0.019830322265625,0.017822265625,162.17033749435103,160.29434686073756,51.60117804893564,50.66870069441417,5.318638704556739,5.27191013105554
P4_letterbox_224,lift,40,0.06869547021224684,0.056049311361330775,0.0018062005479233846,0.001211051507953456,0.0006347297703491108,0.0004406408990810546,0.153271484375,0.095703125,193.2020436688731,189.0770382509387,71.8904445085186,72.45406140765715,7.269399542866249,7.348279470260881
P5_brightness_match_sim_to_real,alignment,85,0.7251804567643981,0.766256942436117,0.0050518688365099335,0.005022542703868998,0.013081402324218106,0.012577427142803592,0.5349512436810662,0.54583740234375,281.67348791258144,273.1329243261694,69.68774758952816,68.09252580180993,7.793613161599664,7.313280942716869
P5_brightness_match_sim_to_real,descent_to_grasp,40,0.39625474696986496,0.3729395628829001,0.00405749500567964,0.0034300388657049607,0.002665527558649781,0.0011164997706921461,0.5294486999511718,0.4814453125,301.67172753170223,307.5860249292616,93.81129609613467,95.74558975314037,11.051268409891966,11.254034663183095
P5_brightness_match_sim_to_real,grasp_close,50,0.004190105830372567,0.0032716138110259704,0.0035403739269846217,0.003127309254139115,0.00040707208202817063,0.00042018281568921405,0.00859375,0.00390625,280.4464745426376,283.6598671402984,102.3485746280066,102.62689555322184,11.475263843427099,11.420643889677775
P5_brightness_match_sim_to_real,hold,10,0.6943658671148295,0.7518217938912515,0.004833860811133456,0.005151804847877223,0.015781986823663562,0.01674962072154395,0.41990966796875,0.45703125,293.8112828647164,269.270148701449,59.2194014905196,59.43871787601919,5.896056974910039,5.8987540535538425
P5_brightness_match_sim_to_real,lift,40,0.003304264657906778,0.0030617118997438766,0.00307648912402862,0.003301066063867275,0.00024320524747653387,0.00023712176952508002,0.00439453125,0.00390625,260.8774124938555,259.0317872666303,96.50408936478213,99.00980252292393,10.93247248805383,11.193864317275294
P6_contrast_match_sim_to_real,alignment,85,0.7151477769938911,0.7543901132335948,0.00489602651002134,0.004856447822470604,0.012439940564487335,0.011690994302998229,0.532115083582261,0.5433349609375,271.2426465414098,269.32149004866585,71.39017548423321,70.55083902584649,8.405782917415777,7.894338627903733
P6_contrast_match_sim_to_real,descent_to_grasp,40,0.3903759892160245,0.35592085316177724,0.0040573837309469075,0.003432921991970446,0.0024019520285306862,0.0012376984247986493,0.5280426025390625,0.4931640625,302.95974791898715,310.543151215761,93.86117831560853,94.35670737942743,11.871044948945586,12.047485443038877
P6_contrast_match_sim_to_real,grasp_close,50,0.004416440572621439,0.0033175359410173608,0.0037505514117122858,0.0035028423060234634,0.0004341977710242148,0.00043705308261574884,0.009609375,0.00390625,281.18392570345674,285.23267365433196,102.17672357425693,100.48135018836788,12.424823984060277,12.319723788770867
P6_contrast_match_sim_to_real,hold,10,0.6851561912768651,0.7396353502155466,0.004467637523896671,0.004842533980569326,0.014970509067779622,0.01576142510921629,0.416748046875,0.455413818359375,264.4232119872968,258.1904611269814,61.051433421968724,60.67306720937709,6.505637016846096,6.5388006006288055
P6_contrast_match_sim_to_real,lift,40,0.0030719108059943483,0.002923844698532677,0.0030902178157941507,0.0031944355582074436,0.00023605998773279686,0.00022713634021343968,0.0041015625,0.00390625,262.0948310766977,260.95106948506884,95.8647272504066,97.7641043727891,11.697808816640963,11.956195390077731
