feature,frame,episode_id,progress,before_cosine_distance,after_cosine_distance,cosine_improvement,before_l2,after_l2,l2_improvement,shift_norm
vision_backbone.output,episode_000003_000025,episode_000003,25,0.17499188073441696,0.032912202293136406,0.14207967844128055,97.6495707726174,44.01904061414524,53.630530158472155,80.94811494276546
vision_backbone.output,episode_000003_000026,episode_000003,26,0.15404481490680266,0.03931352129499677,0.1147312936118059,93.63647708751624,48.8474731511951,44.78900393632114,83.55583373689586
vision_backbone.output,episode_000003_000027,episode_000003,27,0.1524692942993784,0.035887077213546004,0.11658221708583238,92.90082930456452,46.91508656480175,45.98574273976278,86.06908605281045
vision_backbone.output,episode_000003_000028,episode_000003,28,0.16507365961521614,0.03258856907945018,0.13248509053576596,96.50977471621462,44.59731540998688,51.912459306227746,88.00751629805025
vision_backbone.output,episode_000003_000029,episode_000003,29,0.1678607421621492,0.03139649030375169,0.1364642518583975,97.41292757782634,43.86688379416991,53.54604378365643,89.61051336623015
vision_backbone.output,episode_000003_000030,episode_000003,30,0.17031685207863367,0.030883316289418872,0.1394335357892148,98.49308207952639,43.771887094506816,54.72119498501957,90.82091288977628
vision_backbone.output,episode_000003_000031,episode_000003,31,0.17135904434004046,0.031047751660649214,0.14031129267939124,98.81590417499102,43.979012449049506,54.83689172594151,91.61448615978877
vision_backbone.output,episode_000003_000032,episode_000003,32,0.169214582593729,0.02952109081417309,0.13969349177955592,98.03772908780411,43.02331052584939,55.01441856195472,92.144897461734
vision_backbone.output,episode_000003_000033,episode_000003,33,0.17162541603828596,0.02872199347745341,0.14290342256083255,98.82274336087592,42.49759538646012,56.3251479744158,92.56942356170413
vision_backbone.output,episode_000003_000034,episode_000003,34,0.1687850158483919,0.028155682864341225,0.14062933298405067,97.81586477913307,42.26066665404575,55.555198125087315,92.5241807179583
vision_backbone.output,episode_000003_000035,episode_000003,35,0.17035736382087108,0.027612562683521635,0.14274480113734944,98.48404701466974,41.762398833304744,56.721648181365,92.00433524466563
vision_backbone.output,episode_000003_000036,episode_000003,36,0.16939269556068748,0.026318965815960604,0.14307372974472687,98.26192466786425,40.7011885377529,57.56073613011135,90.05469962995596
vision_backbone.output,episode_000003_000037,episode_000003,37,0.16934284645173736,0.027000899936965972,0.1423419465147714,97.81463104855622,41.1448830728986,56.66974797565762,87.46565530158682
vision_backbone.output,episode_000003_000038,episode_000003,38,0.16398014673620132,0.03484758959412959,0.12913255714207172,95.80034099387439,46.3458734323839,49.45446756149049,84.9660726785993
vision_backbone.output,episode_000003_000039,episode_000003,39,0.17365509556486292,0.04959823652300943,0.12405685904185348,97.3678582922504,53.995344108870526,43.37251418337988,82.46545056239925
vision_backbone.output,episode_000003_000040,episode_000003,40,0.18553555520939224,0.06178759558658509,0.12374795962280716,99.969581105042,59.929843091604866,40.03973801343713,80.32368726585096
vision_backbone.output,episode_000003_000041,episode_000003,41,0.1982892553872707,0.0746276148187287,0.12366164056854201,105.55319821525286,66.99541712871073,38.557781086542136,78.97205708882069
