condition,pair_id,episode_id,total_energy,sensitive_energy,null_energy,sensitive_ratio
C0_original,episode_000003_000026,episode_000003,317.78042570513793,78.00512804235166,308.05778509954104,0.2454686372493284
C0_original,episode_000003_000027,episode_000003,309.7370510433413,77.08642098413947,299.99120735261795,0.24887697717943602
C0_original,episode_000003_000028,episode_000003,289.9763201869288,67.22854422658807,282.0755024994654,0.23184149720656577
C0_original,episode_000003_000029,episode_000003,287.3712513680839,65.92364181058689,279.7075429145376,0.22940235495633338
C0_original,episode_000003_000030,episode_000003,285.2321122126447,65.40152316242585,277.6328485704122,0.22929228639469615
C0_original,episode_000003_000031,episode_000003,288.5437975766131,66.28398909683105,280.82727059412275,0.22971898773610466
C0_original,episode_000003_000032,episode_000003,287.847999150707,65.14636560163405,280.3790678063604,0.22632210678499703
C0_original,episode_000003_000033,episode_000003,287.699433694419,64.6732276511796,280.33611571338446,0.22479442111058345
C0_original,episode_000003_000034,episode_000003,287.60219938207547,65.12324505615682,280.1320903480407,0.22643514269388984
C0_original,episode_000003_000035,episode_000003,286.61287590912076,64.62777064905853,279.2314307126434,0.2254880226300465
C0_original,episode_000003_000036,episode_000003,287.7928471985292,67.1953030085292,279.8383714793737,0.23348496553208498
C0_original,episode_000003_000037,episode_000003,283.3860154309687,61.35577950642766,276.6642406654678,0.21650955292595797
C0_original,episode_000003_000038,episode_000003,272.67913112429864,56.31703590854811,266.8001124759466,0.2065322552420648
C0_original,episode_000003_000039,episode_000003,243.64112539816844,38.000551066983384,240.65941931262867,0.155969362745642
C0_original,episode_000003_000040,episode_000003,255.65889099773102,41.3368161146158,252.29493887055315,0.16168737943474323
C0_original,episode_000003_000041,episode_000003,262.4600155955496,35.03276409725296,260.1114477029459,0.13347848058973824
C0_original,episode_000003_000042,episode_000003,257.0078018378541,33.99579059396655,254.74947777653415,0.13227532530477207
C0_original,episode_000003_000043,episode_000003,255.18018261980419,33.95327958000367,252.91125006143702,0.13305609875901311
C0_original,episode_000004_000000,episode_000004,218.32766732126845,58.88718626372111,210.23622335812706,0.26971930303761643
C0_original,episode_000004_000001,episode_000004,221.6458278438825,61.45547520694497,212.95562347045117,0.277268811259698
C0_original,episode_000004_000002,episode_000004,220.7739958121521,60.691172100978235,212.2680825180121,0.27490181476181624
C0_original,episode_000004_000003,episode_000004,220.26423717574818,60.249857800820195,211.86384498917033,0.2735344537694833
C0_original,episode_000004_000004,episode_000004,221.21373916442008,60.340699165869,212.82508879189544,0.27277102857078855
C0_original,episode_000004_000005,episode_000004,214.11666714483667,59.078321245812134,205.80500263110565,0.27591649932533885
C0_original,episode_000004_000006,episode_000004,208.68843871309772,57.017518116481185,200.74826793859788,0.27321838463159026
C0_original,episode_000004_000007,episode_000004,237.92475270758752,63.866704783328814,229.1925652613666,0.2684323680345348
C0_original,episode_000004_000008,episode_000004,237.3362086790997,54.75491167613339,230.9337039011586,0.2307061024563978
C0_original,episode_000004_000009,episode_000004,244.4974372596839,51.171531201233435,239.0825615160467,0.20929270987361512
C0_original,episode_000004_000010,episode_000004,250.02788928378186,63.75429496135767,241.7629733720267,0.2549887340327722
C0_original,episode_000004_000011,episode_000004,250.0164235108577,79.01536264389213,237.20199090946682,0.31604068858484674
C0_original,episode_000004_000012,episode_000004,253.61676810909782,81.92490123416854,240.02036501904504,0.3230263591992745
C0_original,episode_000004_000013,episode_000004,304.4279574034216,98.38638069385708,288.09113374552663,0.3231844457816254
C0_original,episode_000004_000014,episode_000004,306.93822678650565,85.09610224082803,294.9063045210511,0.2772417861787466
C0_original,episode_000004_000015,episode_000004,316.2830969237177,67.92762425365682,308.9026307154276,0.21476843029028467
C0_original,episode_000004_000016,episode_000004,287.8842796490466,52.12001069561723,283.1269378814726,0.18104500446900257
C0_original,episode_000004_000017,episode_000004,278.9977998486433,42.88789263643754,275.68170230464887,0.15372125751423232
C0_original,episode_000004_000018,episode_000004,278.36693772692576,44.477800061355396,274.7906063190084,0.15978118818473883
C0_original,episode_000004_000019,episode_000004,281.5014974613313,45.24598063842745,277.84149133820705,0.16073087016044274
C0_original,episode_000004_000020,episode_000004,278.4323775627845,37.19125982758721,275.9373100320105,0.13357376090070863
C0_original,episode_000004_000021,episode_000004,292.01548731088934,40.854737232874804,289.14345103261275,0.139906063233487
C0_original,episode_000004_000022,episode_000004,303.5911004438409,75.1775928269358,294.13582883669534,0.24762778855186615
C0_original,episode_000004_000023,episode_000004,313.5887601665843,105.06427563068843,295.46473307150256,0.3350383973420358
C0_original,episode_000004_000024,episode_000004,329.36897860905515,111.78471612798101,309.81946567341265,0.339390541878153
C0_original,episode_000004_000025,episode_000004,309.5639539995223,95.39062330101935,294.5003745363686,0.30814512500110575
C0_original,episode_000004_000026,episode_000004,309.3787924311533,95.91882469109797,294.1340107434654,0.31003684492188643
C0_original,episode_000004_000027,episode_000004,299.0982652108545,66.0009606148147,291.7252910703224,0.22066647751462612
C0_original,episode_000004_000028,episode_000004,308.8509045667942,62.03812892136716,302.55603086314915,0.20086756426497812
C0_original,episode_000004_000029,episode_000004,294.86084012038,53.4771580042438,289.97087544835506,0.18136405628638647
C0_original,episode_000004_000030,episode_000004,290.658383322697,48.46257903427398,286.58973154862093,0.16673380784778358
C0_original,episode_000004_000031,episode_000004,289.7601357939438,48.10292560952676,285.7394702226647,0.16600946668431313
C0_original,episode_000004_000032,episode_000004,290.66343650516626,47.95143078081734,286.68082183338544,0.16497235206934963
C0_original,episode_000004_000033,episode_000004,289.5661047390419,47.12052672471059,285.7064664562698,0.16272804707987418
C0_original,episode_000004_000034,episode_000004,291.0966318776617,48.59288996539308,287.01216025689587,0.16693044385967015
C0_original,episode_000004_000035,episode_000004,292.0677220995766,49.76770174767989,287.7963345061738,0.17039781523927608
