heldout_episode,method,count,token_count_mean,token_count_p50,token_count_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
episode_000002,loo_top5,47,5.0,5.0,5.0,149.02558513415332,144.07952460229274,175.30276440190465,0.1632505240425193,0.14397013719917812,0.25993656026267914,0.2795042794179425,0.18870714640741676,0.6407640756082371,0.4334114172685354,0.3689806364511316,0.9163572253743609,0.002093866311710917,0.0024363872744570746,0.0029911986162716956,0.0027214834229372484,0.00041339121466741464,0.008101252377886784,0.08017392607128367,0.05175943672657013,0.1841143190860748,0.06449952213009526,0.024913917033775962,0.16980461394601587,0.16202538422009136,0.15245603492246795,0.22660018010030422,47,0
episode_000002,no_correction,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3439309306790557,0.20837770796987587,0.7896048428320348,0.4427180852584378,0.39682275048591253,0.9163572253743609,0.0034250578014474228,0.0031880475441515136,0.005325236119766038,0.00467704479692341,0.0011637830736065237,0.014618562844820805,0.25504696020420564,0.23216018080711365,0.5833365559577941,7.287086898207073e-05,-5.4080937270106766e-05,0.0007649624373471885,-0.010631536121064279,-0.00010758011139420721,0.0038210472897493427,20,27
episode_000003,all35_full_delta,44,35.0,35.0,35.0,290.0418040717237,287.99809809047474,318.50339794299475,1.0,1.0,1.0,0.00057188323295433,0.00036233443789451635,0.0012371100000061616,0.0010879573330690735,0.0007802380268494898,0.0021625739496494265,1.9510416190142087e-05,1.6247867177826402e-05,4.201276190970356e-05,3.876788904180102e-05,3.249057198006009e-05,6.948212476188935e-05,0.0003412074875086546,8.594198152422905e-05,0.0010714113712310793,0.42434799600983397,0.58225268327436,0.872381944999456,0.9081903949230992,0.9980837673277939,0.9998579718477264,44,0
episode_000003,loo_bottom10,44,10.0,10.0,10.0,115.40420525506538,115.65825438550138,127.76054646860968,0.08348451906183448,0.08708598531189066,0.10265338338571466,0.3392434983609908,0.5009308968832009,0.6587139491609638,0.48457030924791095,0.7952840511142977,0.9249705160760358,0.004778503739651251,0.004720877749980408,0.008190628808713254,0.006256370222357232,0.0024822323186300226,0.017489381540704233,0.413965721021999,0.5338755249977112,0.8553328037261964,0.08567638088179756,0.03971622961726223,0.23172838534609372,0.12795573011206252,0.12460437254007692,0.28946422337245264,39,5
episode_000003,loo_top10,44,10.0,10.0,10.0,217.83045811339392,220.71762874106406,235.6517185559335,0.34046482842438214,0.3496441386475922,0.3653856626728311,0.28031645970080254,0.3526658068300807,0.584188031751407,0.47175484850736144,0.668029464663515,0.9343956575482028,0.0005448511492123908,0.000597082391860077,0.000722216990501982,0.0008461453647651573,0.0008226275862485038,0.0019702867637864524,0.013404026098380034,0.005289942026138306,0.02828524038195611,0.14460341954198583,0.2111574975644293,0.28843773869799744,0.38798886699390844,0.353706736477734,0.5595726163945717,42,2
episode_000003,loo_top15,44,15.0,15.0,15.0,238.38513091077786,241.8617561225103,261.0021738841442,0.4309012370895205,0.42576144945611616,0.4637289449118066,0.22742749895256298,0.2584127613739742,0.5083210556526554,0.44765369684207257,0.5534857052650576,0.9343956575482028,0.0005448511492123908,0.000597082391860077,0.000722216990501982,0.0008461453647651573,0.0008226275862485038,0.0019702867637864524,0.013404026098380034,0.005289942026138306,0.02828524038195611,0.19749238029022545,0.31042676354500887,0.3790860006292679,0.5145979187048012,0.4946096730718267,0.7017104396120478,44,0
episode_000003,loo_top20,44,20.0,20.0,20.0,252.9572853269752,256.53924940564673,276.67858295835055,0.5117595135979816,0.5010047691286396,0.5558366644425365,0.17119961940800282,0.1666722018392989,0.3774464030246092,0.4351751865575142,0.4234072823120878,0.9343956575482028,1.9510416190142087e-05,1.6247867177826402e-05,4.201276190970356e-05,3.876788904180102e-05,3.249057198006009e-05,6.948212476188935e-05,0.0003412074875086546,8.594198152422905e-05,0.0010714113712310793,0.25372025983478547,0.38843901286732996,0.4962972737175003,0.6241526196448057,0.630202795453468,0.7931573946080277,43,1
episode_000003,loo_top5,44,5.0,5.0,5.0,153.0802866187486,150.98443970409596,182.68269956265613,0.15235151199516103,0.13567863489249943,0.2051814483270998,0.3337414319495687,0.477944243905455,0.683861289204892,0.47843582280396896,0.7215303254057234,0.9343956575482028,0.0025741011315969795,0.0029469877160621482,0.0036634569495351023,0.003468118056433706,0.0015793673972264613,0.009282969173197618,0.11472285369580443,0.09298872947692871,0.26227197647094724,0.09117844729321974,0.10371593148408392,0.1975642247602447,0.1798977315030161,0.2059281010798554,0.23372273094008594,41,3
episode_000003,no_correction,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42490469220069665,0.5826249794604819,0.8722575961214917,0.4970193027353222,0.8026112159370781,0.9343956575482028,0.004778503739651251,0.004720877749980408,0.008190628808713254,0.006256370222357232,0.0024822323186300226,0.017489381540704233,0.413965721021999,0.5338755249977112,0.8553328037261964,1.5187042091726665e-05,-0.00011524806673571882,0.0005494905561566733,-0.020725761378368554,-0.00027369764765650605,0.0016490575739544922,20,24
episode_000004,all35_full_delta,45,35.0,35.0,35.0,270.8862494191955,282.1112330436584,308.5425698895148,1.0,1.0,1.0,0.000708464277002166,0.0007881437119881283,0.001293222191038234,0.001100604288202677,0.0014798779797889087,0.0018196349689578377,2.1790930634857256e-05,1.8692343257312504e-05,4.058691373914259e-05,5.4716704640825814e-05,5.504827743538229e-05,8.399888252707936e-05,0.0005075112709568607,0.00013410206884145737,0.00130232572555542,0.33358813183351194,0.3386182540302606,0.7482304008419305,0.8572879433748949,0.9982388586805451,0.9997992998883733,45,0
