frame,episode_id,progress,window,raw_first_l2,raw_first_translation_l2,raw_first_rotation_l2,raw_first_gripper_abs,raw_chunk_mean_l2,raw_chunk_max_l2,norm_output_shift_first_l2,norm_output_shift_first_translation_l2,norm_output_shift_first_rotation_l2,norm_output_shift_first_gripper_abs,norm_output_shift_chunk_mean_l2,norm_output_shift_chunk_max_l2,norm_output_shift_norm,hidden_shift_first_l2,hidden_shift_first_translation_l2,hidden_shift_first_rotation_l2,hidden_shift_first_gripper_abs,hidden_shift_chunk_mean_l2,hidden_shift_chunk_max_l2,hidden_shift_norm,planner_phase,chunk_gap_reduction,chunk_gap_reduction_ratio,first_gripper_reduction
episode_000001_000040,episode_000001,40.0,11.0,0.003281137669607108,0.0032747679468331063,0.0002043509268617205,0.0,0.0024363204749320486,0.0033826607907666917,0.0013786392775555706,0.0009120812026033797,0.00010995449546380503,0.0010279417037963867,0.0013068076855001476,0.001704369010792257,0.21274594962596893,0.0008760265090246633,0.0006425264036915145,0.000118933504749425,0.0005834698677062988,0.00183306768737413,0.002772197386813111,165.8819122314453,lift,0.0006032527875579187,0.2476081425924658,-0.0005834698677062988
episode_000001_000041,episode_000001,41.0,11.0,0.0031781563703126617,0.0031743341866841295,0.00015582164614506703,0.0,0.0021285511738053167,0.004044140895727423,0.001225914331647158,0.0008313920797852111,0.00012009491079981235,0.0008928775787353516,0.001317610833406069,0.002905005266078032,0.2068130522966385,0.0005791364706361394,0.0005167870728738953,6.768573486250466e-05,0.0002524852752685547,0.0014762260412517205,0.002395265438344398,162.68722534179688,lift,0.0006523251325535962,0.3064643878809839,-0.0002524852752685547
episode_000001_000042,episode_000001,42.0,11.0,0.006198710746112487,0.004801411434653443,0.00033417672966499156,0.00390625,0.0032982858734756622,0.006198710746112487,0.004067185749019897,0.0025638655380618705,0.00021137135466107082,0.0031502246856689453,0.001979888502430811,0.004067185749019897,0.19829371571540833,0.004701500263396313,0.0021513497886138143,0.0002112221437037976,0.004175066947937012,0.0025761221630212243,0.004701500263396313,160.7576446533203,lift,0.000722163710454438,0.21895121834707357,-0.0002688169479370117
episode_000001_000043,episode_000001,43.0,11.0,0.009455498498125265,0.005313705674635339,0.0003685479634963777,0.0078125,0.005668335185239355,0.009455498498125265,0.007884541358478344,0.003127744263076865,0.0002353029189587255,0.007233798503875732,0.00487328073770719,0.007884541358478344,0.1937890648841858,0.008499912939999972,0.0028574382441386805,0.00021249596356289125,0.008002400398254395,0.004161338804247449,0.008499912939999972,160.80918884277344,lift,0.0015069963809919065,0.2658622561552473,-0.00018990039825439453
episode_000001_000044,episode_000001,44.0,11.0,0.01663955360789427,0.005715430170508499,0.00026072444463163305,0.015625,0.006268481883247962,0.01663955360789427,0.015367206323201594,0.0035720733738943446,0.0001399204135661816,0.014945626258850098,0.005333039565355598,0.015367206323201594,0.18924783170223236,0.016001907507263824,0.003585590082694129,0.00012925023691841696,0.015594482421875,0.005816935658567089,0.016001907507263824,161.1236572265625,lift,0.0004515462246808726,0.07203438297996766,3.0517578125e-05
episode_000001_000045,episode_000001,45.0,11.0,0.02040115713360152,0.0058863809652595755,0.00029665629814621823,0.01953125,0.007141096362907787,0.02040115713360152,0.01925994703311736,0.0036279414783119057,0.0001635857215980102,0.018914461135864258,0.006123793640581416,0.01925994703311736,0.1946800798177719,0.016854187125844917,0.0036838653044989574,0.00014842182625502364,0.01644599437713623,0.006171515666305952,0.016854187125844917,164.41859436035156,lift,0.0009695806966018346,0.1357747672525498,0.0030852556228637695
episode_000002_000000,episode_000002,0.0,11.0,0.4557508500016291,0.005109756532275237,0.01591177324618405,0.4554443359375,0.7715834668403181,0.911734381238218,0.023995037167509226,0.0010101770603864137,0.0008088948183858537,0.023960113525390625,0.08434157423391825,0.12801478735149976,2.1213083267211914,0.0031698702878966874,0.000761872026783117,0.0009963767425406776,0.002911161631345749,0.03960145515039284,0.06333448402221988,201.72776794433594,hold,0.7319820116899253,0.9486750859079923,0.45253317430615425
episode_000002_000001,episode_000002,1.0,11.0,0.45656608479053234,0.0053217605000386034,0.016472550292526447,0.45623779296875,0.7732235697479676,0.916940936814543,0.008345195079168,0.0010991834093074958,0.0013118941263217214,0.008167803287506104,0.07148335173525387,0.11150421969440842,2.1664183139801025,0.003386782295341327,0.0008380235398543229,0.001607408744646765,0.002860812470316887,0.03351166425028867,0.05379882276148463,200.02322387695312,hold,0.739711905497679,0.9566597998801152,0.4533769804984331
episode_000002_000002,episode_000002,2.0,11.0,0.4551724231613269,0.005399792543970254,0.01669801498976348,0.454833984375,0.7719745623964481,0.9138350171990975,0.015358202100061842,0.0011817641528698874,0.0015408403248538729,0.015234947204589844,0.061362453744140476,0.09519265420154228,2.200744867324829,0.002599420792033452,0.0008952118069772947,0.0016682992793928984,0.001781112514436245,0.02656269997329654,0.043669996150354135,198.28321838378906,alignment,0.7454118624231516,0.9655912237692941,0.45305287186056376
episode_000002_000003,episode_000002,3.0,11.0,0.44004472294781766,0.005333980306020187,0.01664996847488824,0.439697265625,0.7664222356855166,0.9132594526442899,0.03857776262380442,0.0011258531121805951,0.00147549307180803,0.03853309154510498,0.059579488951255234,0.08312659234206117,2.2051844596862793,0.002261998099400447,0.0008610137452278807,0.0017194321813941158,0.0011911522597074509,0.023784362051162307,0.038554751941168586,195.68240356445312,alignment,0.7426378736343543,0.9689670250369384,0.43850611336529255
