condition,correction_mode,fold_episode,frame,episode_id,progress,planner_phase,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,repr_gap_raw,repr_gap_corrected,repr_gap_reduction_ratio,action_gap_reduction
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000036,episode_000002,36,grasp_close,0.14063823737737985,0.0019166770974041205,0.00022256801327016063,0.140625,0.08328466316309477,0.1445626155639148,0.18246990227066867,0.009207918768833452,0.0004337614366898214,0.182236909866333,0.06510259814188771,0.18246990227066867,210.704972362605,295.82439412716604,-0.4039744331143639,0.01818206502120706
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000037,episode_000002,37,grasp_close,0.12501197603001507,0.0017117385289992222,0.0002531839991088129,0.125,0.07542440567121994,0.1328459956274643,0.16713653431931216,0.009073137202685991,0.0004874808190623253,0.16688936948776245,0.057512792559677374,0.16713653431931216,211.44681400135994,296.4333196059147,-0.4019285228105075,0.017911613111542567
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000038,episode_000002,38,grasp_close,0.12110695950041642,0.0017613145180154638,0.0003116432922901347,0.12109375,0.07463988362878818,0.1328457363768864,0.1619210394509634,0.00902456191294423,0.00045383288058772534,0.16166871786117554,0.057504336756389426,0.1619210394509634,208.5164056183818,293.93598927389,-0.4096540193189385,0.017135546872398752
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000039,episode_000002,39,lift,0.1132937460997738,0.0016709548812295627,0.00019802409551964348,0.11328125,0.06840164503285592,0.125030288369037,0.11748902214100017,0.005571562964927527,0.00037518922523963207,0.11735624074935913,0.049152218421185515,0.11748902214100017,207.84862733212876,256.72552071524325,-0.23515620002152987,0.01924942661167041
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000040,episode_000002,40,lift,0.09376314193790326,0.0015334208298154368,0.0003360158122495536,0.09375,0.058180870763525405,0.10549711375319439,0.09731621253610334,0.003927364987237628,0.00032332173064779184,0.09723639488220215,0.04212550408978012,0.09731621253610334,206.30676890062358,249.62330829085164,-0.2099617943757013,0.016055366673745283
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000041,episode_000002,41,lift,0.039069998875957475,0.000739386485481003,0.00019802409551964546,0.0390625,0.02667637348518604,0.05079838651119885,0.04378215277658408,0.0029328737950150927,0.00030356639489486693,0.043682754039764404,0.011777603280261846,0.04378215277658408,180.26267433925756,228.73796272992087,-0.26891472995364507,0.014898770204924194
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000042,episode_000002,42,lift,0.15626105018483769,0.0010496127681561623,0.001533498583397529,0.15625,0.060308116329632046,0.15626105018483769,0.1476894740461286,0.0012419133508231276,0.0016497663093708156,0.1476750373840332,0.15106344150126153,0.3508576602626934,165.10312979430392,225.41816474999916,-0.3653173324505694,-0.09075532517162949
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000043,episode_000002,43,lift,0.31251096836311015,0.0023233521372831847,0.0012072208145218941,0.3125,0.10943705372257514,0.31251096836311015,0.3031775579480787,0.000425823301931274,0.0013624179701015103,0.3031741976737976,0.255111507108102,0.4868271114998123,171.68078657111892,228.9861052205464,-0.3337899353442716,-0.14567445338552684
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000044,episode_000002,44,lift,0.20704599707173643,0.0021193780472987017,0.0012706941251234233,0.20703125,0.08756105172788271,0.20704599707173643,0.19641466530050627,0.006997831657054853,0.0002724808482911484,0.1962897777557373,0.0778636690640285,0.19641466530050627,175.58837732707087,270.2214239509904,-0.5389482382859845,0.009697382663854212
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000002,episode_000002_000045,episode_000002,45,lift,0.1797081362537986,0.0023334545271054916,0.0014041258966985023,0.1796875,0.08598985809406819,0.1797081362537986,0.1886898351287283,0.00657254150613633,0.00033745513073563316,0.18857502937316895,0.07725818135679971,0.1886898351287283,178.2151355565928,269.8255613114429,-0.5140440258833063,0.008731676737268476
